pid 83328's current affinity list: 24-47,72-95
pid 83328's new affinity list: 0-11,48-59
pid 83333's current affinity list: 0-11,48-59
pid 83333's new affinity list: 0-11,48-59
pid 83334's current affinity list: 0-11,48-59
pid 83334's new affinity list: 0-11,48-59
pid 83335's current affinity list: 0-11,48-59
pid 83335's new affinity list: 0-11,48-59
pid 83336's current affinity list: 0-11,48-59
pid 83336's new affinity list: 0-11,48-59
pid 83337's current affinity list: 0-11,48-59
pid 83337's new affinity list: 0-11,48-59
pid 83338's current affinity list: 0-11,48-59
pid 83338's new affinity list: 0-11,48-59
pid 83339's current affinity list: 0-11,48-59
pid 83339's new affinity list: 0-11,48-59
pid 83340's current affinity list: 0-11,48-59
pid 83340's new affinity list: 0-11,48-59
pid 83341's current affinity list: 0-11,48-59
pid 83341's new affinity list: 0-11,48-59
pid 83342's current affinity list: 0-11,48-59
pid 83342's new affinity list: 0-11,48-59
pid 83343's current affinity list: 0-11,48-59
pid 83343's new affinity list: 0-11,48-59
pid 83344's current affinity list: 0-11,48-59
pid 83344's new affinity list: 0-11,48-59
pid 83345's current affinity list: 0-11,48-59
pid 83345's new affinity list: 0-11,48-59
pid 83346's current affinity list: 0-11,48-59
pid 83346's new affinity list: 0-11,48-59
pid 83347's current affinity list: 0-11,48-59
pid 83347's new affinity list: 0-11,48-59
pid 83348's current affinity list: 0-11,48-59
pid 83348's new affinity list: 0-11,48-59
pid 83349's current affinity list: 0-11,48-59
pid 83349's new affinity list: 0-11,48-59
pid 83350's current affinity list: 0-11,48-59
pid 83350's new affinity list: 0-11,48-59
pid 83351's current affinity list: 0-11,48-59
pid 83351's new affinity list: 0-11,48-59
pid 83352's current affinity list: 0-11,48-59
pid 83352's new affinity list: 0-11,48-59
pid 83353's current affinity list: 0-11,48-59
pid 83353's new affinity list: 0-11,48-59
pid 83354's current affinity list: 0-11,48-59
pid 83354's new affinity list: 0-11,48-59
pid 83355's current affinity list: 0-11,48-59
pid 83355's new affinity list: 0-11,48-59
pid 83356's current affinity list: 0-11,48-59
pid 83356's new affinity list: 0-11,48-59
pid 83357's current affinity list: 0-11,48-59
pid 83357's new affinity list: 0-11,48-59
pid 83358's current affinity list: 0-11,48-59
pid 83358's new affinity list: 0-11,48-59
pid 83359's current affinity list: 0-11,48-59
pid 83359's new affinity list: 0-11,48-59
pid 83360's current affinity list: 0-11,48-59
pid 83360's new affinity list: 0-11,48-59
pid 83361's current affinity list: 0-11,48-59
pid 83361's new affinity list: 0-11,48-59
pid 83362's current affinity list: 0-11,48-59
pid 83362's new affinity list: 0-11,48-59
