
AMDuProf PROFILE REPORT

EXECUTION
Target Path:
Command Line Arguments:
Working Directory:
Environment Variables:
CPU Details:,"Family(0x17), Model(0x1), Number of Cores(96)"
Operating System:,"LinuxUbuntu 18.04.2 LTS-64 (Kernel: 4.15.0)"

PROFILE DETAILS
Profile Session Type:,"Investigate Data Access"
Profile Scope:,"System-Wide"
CPU Mask:,"0xFFFFFFFF"
CPU Affinity Mask:,"0xFFFFFFFFFFFFFFFFFFFFFFFF"
Profile Start Time:,"Apr-10-2020_23-16-58"
Profile End Time:,"Apr-10-2020_23-17-28"
Profile Duration:,"30 seconds"
Data Folder:,"/tmp/neo4j_bench/q3/three"
Call Stack Sampling:,"False"

Monitored Events:,Name,Interval,Unitmask,User,OS
,"Misaligned loads (PMCx047)",25000,0,True,True
,"Cycles not in Halt (PMCx076)",250000,0,True,True
,"Retired Instructions (PMCx0C0)",250000,0,True,True
,"LS Dispatch (PMCx029)",250000,7,True,True
,"Data Cache Refills from System (PMCx043)",25000,11,True,True
,"Requests to L2 Group1 (PMCx060)",25000,c8,True,True
,"L1 DTLB Miss (PMCx045)",25000,ff,True,True

"5 HOTTEST FUNCTIONS (Sort Event - CPU clocks)"
FUNCTION,"Misalign access","CPU clocks","Ret inst","DC accesses","DC refills L2/sys","DC misses","DTLB L1M","DC access rate","DC miss rate","DC miss ratio","IPC","CPI","DTLB request rate","DTLB L1M rate","DC refill rate","Misalign rate","Misalign ratio"
"acpi_idle_do_entry",0,19570,261,1180,148,297,7,4.5211,0.1138,0.0252,0.0133,74.9808,4.5211,0.0027,0.0567,0.0000,0.0000
"native_write_msr",0,1150,190,185,3,15,0,0.9737,0.0079,0.0081,0.1652,6.0526,0.9737,0.0000,0.0016,0.0000,0.0000
"native_read_msr",0,617,34,91,9,41,5,2.6765,0.1206,0.0451,0.0551,18.1471,2.6765,0.0147,0.0265,0.0000,0.0000
"menu_select",0,461,351,131,13,86,22,0.3732,0.0245,0.0656,0.7614,1.3134,0.3732,0.0063,0.0037,0.0000,0.0000
"apic_timer_interrupt",0,356,51,109,0,20,19,2.1373,0.0392,0.0183,0.1433,6.9804,2.1373,0.0373,0.0000,0.0000,0.0000


"ALL PROCESSES (Sort Event - CPU clocks)"
PROCESS,"Misalign access","CPU clocks","Ret inst","DC accesses","DC refills L2/sys","DC misses","DTLB L1M","DC access rate","DC miss rate","DC miss ratio","IPC","CPI","DTLB request rate","DTLB L1M rate","DC refill rate","Misalign rate","Misalign ratio"
[kernel] (PID - 0),0,28288,3111,3558,354,1296,148,1.1437,0.0417,0.0364,0.1100,9.0929,1.1437,0.0048,0.0114,0.0000,0.0000
/usr/bin/gnome-shell (PID - 3406),0,41,0,9,0,5,2,0.0000,0.0000,0.0556,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
/snap/core/8935/usr/lib/snapd/snapd (PID - 36437),0,33,2,0,0,0,0,0.0000,0.0000,0.0000,0.0606,16.5000,0.0000,0.0000,0.0000,0.0000,0.0000
/usr/bin/dockerd (PID - 4140),0,21,7,8,1,5,0,1.1429,0.0714,0.0625,0.3333,3.0000,1.1429,0.0000,0.0143,0.0000,0.0000
/usr/bin/containerd (PID - 2654),0,18,8,6,0,3,0,0.7500,0.0375,0.0500,0.4444,2.2500,0.7500,0.0000,0.0000,0.0000,0.0000
kworker/10:3 (PID - 71560),0,5,2,0,0,2,0,0.0000,0.1000,0.0000,0.4000,2.5000,0.0000,0.0000,0.0000,0.0000,0.0000
/usr/lib/accountsservice/accounts-daemon (PID - 2008),0,4,4,3,0,0,0,0.7500,0.0000,0.0000,1.0000,1.0000,0.7500,0.0000,0.0000,0.0000,0.0000
kworker/0:2 (PID - 72142),0,2,0,1,0,2,1,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
kworker/18:1 (PID - 49123),0,2,1,1,0,0,0,1.0000,0.0000,0.0000,0.5000,2.0000,1.0000,0.0000,0.0000,0.0000,0.0000
watchdog/19 (PID - 126),0,2,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000


PROFILE REPORT FOR PROCESS - [kernel] (PID - 0)
PROCESS,"Misalign access","CPU clocks","Ret inst","DC accesses","DC refills L2/sys","DC misses","DTLB L1M","DC access rate","DC miss rate","DC miss ratio","IPC","CPI","DTLB request rate","DTLB L1M rate","DC refill rate","Misalign rate","Misalign ratio"
"[kernel]",0,28288,3111,3558,354,1296,148,1.1437,0.0417,0.0364,0.1100,9.0929,1.1437,0.0048,0.0114,0.0000,0.0000

THREAD SUMMARY
THREAD,"Misalign access","CPU clocks","Ret inst","DC accesses","DC refills L2/sys","DC misses","DTLB L1M","DC access rate","DC miss rate","DC miss ratio","IPC","CPI","DTLB request rate","DTLB L1M rate","DC refill rate","Misalign rate","Misalign ratio"
"Thread-0",0,28288,3111,3558,354,1296,148,1.1437,0.0417,0.0364,0.1100,9.0929,1.1437,0.0048,0.0114,0.0000,0.0000


MODULE SUMMARY
