
AMDuProfPcm Report

System:,Family(0x17) Model(0x1) Stepping(0x2)
Number of sockets:,2
Number of nodes(die):,8
Number of core complexes(CCX):,16
Number of physical cores:,48
Number of logical cores (threads) :,96
SMT Enabled:,True
Number of logical cores sharing L3:,6

CPU Topology:
Socket, Die, CCX, Core(s)
0,0,0, 0 1 2 48 49 50
0,0,1, 3 4 5 51 52 53
0,1,2, 6 7 8 54 55 56
0,1,3, 9 10 11 57 58 59
0,2,4, 12 13 14 60 61 62
0,2,5, 15 16 17 63 64 65
0,3,6, 18 19 20 66 67 68
0,3,7, 21 22 23 69 70 71
1,4,8, 24 25 26 72 73 74
1,4,9, 27 28 29 75 76 77
1,5,10, 30 31 32 78 79 80
1,5,11, 33 34 35 81 82 83
1,6,12, 36 37 38 84 85 86
1,6,13, 39 40 41 87 88 89
1,7,14, 42 43 44 90 91 92
1,7,15, 45 46 47 93 94 95

P0 state frequency (MHz):,2000.000000
Measured DF Frequency (MHz):,1199.984741
Sampling interval (ms):,1000
Version:,3.2.228

IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles

Core-0 (ccx-0 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-1 (ccx-0 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-2 (ccx-0 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-48 (ccx-0 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-49 (ccx-0 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-50 (ccx-0 die-0 pkg-0),,,,,,,,,,,,,,,,,CCX-0(die-0 pkg-0),,,
Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),L3 Access (pti),L3 Miss (pti),Ave L3 Miss Latency,
1.95,1200.13,0.49,2.03,555.13,63.42,13.60,30.07,18.52,33.89,7.96,12.78,13.16,34.83,17.00,11.32,5.37,2.01,1200.70,0.72,1.40,564.65,49.60,19.23,15.32,13.06,69.98,42.05,19.31,8.61,74.98,48.59,20.04,4.45,3.34,1202.16,1.81,0.55,375.33,50.43,12.47,5.87,31.53,29.73,3.63,2.60,23.50,67.71,42.74,16.65,8.03,2.64,1224.69,0.70,1.43,606.84,66.63,36.02,25.22,3.17,23.86,13.13,8.34,2.38,42.76,26.34,14.54,0.79,1.39,1200.43,0.49,2.05,647.11,102.93,52.37,33.78,12.45,64.20,38.50,16.95,8.74,73.12,49.33,18.06,3.71,0.14,1251.68,0.12,8.33,611.47,150.53,97.66,34.37,13.51,29.66,10.55,9.89,9.22,44.47,29.27,9.38,4.29,23.29,8.16,282.39,
4.79,1946.79,0.01,102.15,499.82,103.66,47.10,29.27,25.95,38.45,9.31,11.20,17.95,54.74,28.10,16.47,8.00,3.92,1452.93,0.98,1.03,602.56,69.93,26.08,20.08,21.93,98.73,61.05,22.16,15.52,53.79,37.32,9.16,6.41,7.75,1990.02,0.35,2.84,659.23,204.15,143.47,37.34,17.10,55.98,18.51,24.39,13.08,34.66,21.16,8.00,4.02,59.34,2782.79,1.89,0.53,401.26,29.48,9.25,16.42,3.53,5.37,1.11,1.22,3.03,39.00,26.20,12.13,0.49,6.21,1450.23,0.49,2.05,576.09,165.31,107.21,30.57,22.36,56.42,16.69,21.66,18.06,36.59,23.00,7.93,4.30,3.25,1301.64,0.41,2.41,652.43,194.50,136.83,36.22,15.67,109.02,69.07,26.75,13.20,62.96,48.17,11.09,2.47,5.42,2.61,304.84,
2.85,2091.34,0.00,339.14,498.35,111.69,54.00,34.10,21.52,42.72,6.71,20.33,15.67,47.41,25.64,14.50,5.86,1.48,1272.68,0.35,2.89,615.80,189.33,132.44,33.09,18.63,72.30,32.58,24.65,15.08,58.90,40.38,13.16,3.55,0.59,1319.71,0.03,37.46,534.78,59.45,14.68,25.07,18.43,39.92,4.86,21.29,13.77,27.95,14.00,8.09,4.66,88.96,2885.55,2.04,0.49,436.10,39.35,18.65,13.86,6.54,26.87,2.28,20.26,4.33,49.98,32.21,13.21,2.22,0.32,1289.87,0.05,19.65,576.28,110.05,60.25,31.20,14.22,61.87,25.59,25.63,10.64,54.62,36.81,11.97,3.58,1.16,1304.69,0.33,3.06,537.51,95.09,41.49,35.39,16.31,55.66,15.88,25.39,14.39,51.31,36.42,11.66,1.92,3.84,2.27,290.10,
0.30,1387.87,0.01,84.10,481.51,25.95,5.33,7.00,12.23,44.43,12.86,23.52,8.05,60.00,39.39,14.05,4.18,0.31,1199.98,0.13,7.72,596.48,114.81,60.58,34.25,17.17,67.41,27.33,25.78,14.31,50.97,32.87,13.34,2.86,0.24,1200.20,0.07,15.31,545.45,67.14,20.92,25.22,19.28,51.02,14.43,21.88,14.70,31.33,17.52,8.00,4.57,0.29,1311.08,0.19,5.40,548.12,87.68,55.55,30.26,0.51,33.33,14.21,18.80,0.32,47.23,31.67,13.19,0.18,0.22,1199.89,0.07,15.25,514.05,79.67,35.50,28.39,13.03,62.00,26.91,24.55,10.54,51.31,32.50,14.14,2.48,0.88,1199.53,0.29,3.42,653.17,144.06,84.58,37.90,17.71,84.73,38.92,30.85,14.96,47.25,34.02,9.14,2.75,37.41,10.74,301.34,
0.24,1198.33,0.36,2.81,534.88,58.51,8.27,29.22,19.69,40.27,3.89,21.28,15.11,50.50,29.94,13.71,4.59,0.32,1199.46,0.13,7.82,592.90,108.50,52.14,35.09,18.31,67.88,27.08,25.70,15.10,53.31,36.63,11.59,3.21,0.52,1199.35,0.08,12.13,536.51,64.88,16.80,26.06,20.09,41.58,5.58,20.84,15.16,28.23,13.66,8.38,4.94,0.12,1199.12,0.07,14.57,531.24,64.13,24.41,23.41,13.02,29.85,1.68,18.13,10.04,46.44,25.75,15.36,2.98,0.25,1198.59,0.09,10.75,551.23,81.71,31.08,33.33,13.82,66.25,27.52,28.02,10.71,48.04,32.78,10.01,3.11,0.96,1199.69,0.41,2.46,653.19,141.73,83.07,38.03,16.65,59.55,18.14,26.71,14.69,49.96,35.24,11.47,1.96,67.73,18.17,317.59,
0.27,1200.37,0.27,3.73,513.79,31.98,18.73,11.45,0.11,24.30,3.24,21.02,0.04,30.14,17.84,11.21,0.07,0.29,1198.78,0.13,7.88,633.27,128.28,70.87,35.46,18.06,66.13,25.43,25.74,14.96,50.91,33.80,12.17,3.10,0.25,1199.45,0.04,26.29,536.70,61.96,16.06,24.93,19.43,43.12,7.61,20.84,14.67,31.52,17.13,8.46,4.76,0.11,1198.54,0.21,4.77,492.42,39.86,19.83,17.34,0.11,22.17,1.71,20.39,0.07,34.30,20.98,11.50,0.04,0.21,1199.31,0.09,11.46,565.53,86.76,37.81,31.20,13.91,65.11,26.73,27.57,10.81,46.61,30.42,10.85,3.11,0.88,1199.93,0.45,2.22,568.21,105.78,50.99,36.15,16.54,63.71,22.29,26.79,14.63,49.12,36.19,9.81,1.91,32.70,11.53,301.88,
0.21,1199.27,0.31,3.25,517.74,48.73,10.00,17.10,20.08,46.10,8.87,21.69,15.54,57.03,36.53,14.25,4.54,0.32,1199.46,0.15,6.87,640.63,131.32,72.21,36.90,18.22,68.88,29.14,24.41,15.33,52.43,35.06,12.66,2.89,0.50,1199.69,0.05,19.93,537.57,64.09,17.97,25.34,19.20,43.93,8.85,20.42,14.66,27.16,12.39,9.00,4.54,0.11,1198.78,0.24,4.16,507.37,36.87,11.89,21.74,1.30,24.26,2.19,21.21,0.87,43.77,27.83,13.58,0.43,0.21,1199.53,0.09,11.29,559.91,84.07,35.14,32.16,13.19,59.51,24.58,24.55,10.37,51.57,33.53,12.78,2.81,0.89,1199.43,0.30,3.28,629.35,132.34,76.14,36.80,16.10,81.85,37.85,29.77,14.24,47.90,34.26,10.37,1.86,46.48,11.88,313.79,
0.23,1199.24,0.13,7.42,554.22,66.49,27.72,14.88,21.08,77.75,35.90,27.02,14.83,52.19,34.06,10.59,6.24,0.31,1200.01,0.14,7.31,643.18,127.17,74.04,36.66,12.37,58.03,25.37,24.09,8.56,45.19,26.73,12.81,3.80,0.23,1199.55,0.09,10.91,536.83,71.90,16.07,26.03,28.10,57.02,13.78,22.18,21.06,30.90,14.51,8.18,7.03,0.12,1199.14,0.09,10.92,515.97,49.71,14.39,17.18,14.23,32.56,3.78,18.79,9.99,49.53,28.85,14.50,4.23,0.22,1199.10,0.08,12.10,572.87,76.72,36.84,32.52,3.98,57.35,27.97,26.44,2.95,48.22,34.22,10.97,1.04,0.93,1199.66,0.40,2.52,665.74,149.52,88.66,38.68,17.88,68.76,26.90,27.77,14.09,49.04,32.95,10.94,3.79,78.96,17.52,320.26,
3.82,1281.63,0.47,2.13,618.66,134.02,91.71,33.27,4.57,8.87,3.53,2.24,3.10,30.70,19.57,9.49,1.47,1.18,1776.09,0.01,139.14,560.51,151.52,81.16,40.33,25.56,68.33,22.03,28.39,17.91,41.88,24.54,8.70,7.64,1.85,1270.12,0.42,2.36,661.22,217.50,156.72,36.24,17.79,117.78,78.28,25.73,13.77,68.14,51.60,11.48,4.02,2.16,1325.25,0.34,2.98,690.69,250.03,171.67,42.01,27.59,63.45,17.87,23.16,22.42,63.87,40.87,14.58,5.17,29.73,2693.42,1.73,0.58,445.21,52.06,29.95,18.47,3.15,4.28,0.46,1.14,2.68,27.55,18.62,8.33,0.47,1.09,1274.70,0.40,2.52,703.13,240.19,186.28,40.06,5.33,17.86,7.92,5.60,4.35,31.95,12.81,16.76,0.98,8.44,3.18,355.71,
32.99,1829.75,1.35,0.74,443.77,49.17,33.22,13.32,1.61,28.07,5.37,21.91,0.79,51.16,35.43,12.43,0.82,4.29,2943.83,0.01,76.40,522.92,164.39,90.48,40.94,28.13,139.43,75.79,41.29,22.35,43.94,31.08,6.46,5.78,1.07,1321.83,0.49,2.06,628.88,180.54,121.92,34.95,18.96,51.99,16.06,21.36,14.58,32.20,17.42,9.32,4.38,0.49,1753.27,0.28,3.61,657.57,154.61,93.83,39.59,15.26,38.53,1.68,23.33,13.51,47.97,34.95,10.18,1.74,98.50,2954.42,2.19,0.46,437.23,34.98,19.30,12.21,3.23,4.03,0.26,1.07,2.70,31.59,15.07,15.78,0.53,2.58,1906.38,0.16,6.21,586.89,76.02,40.07,28.12,4.54,36.82,12.31,20.72,3.79,32.08,12.60,17.26,0.75,2.04,0.97,295.34,
