
AMDuProfPcm Report

System:,Family(0x17) Model(0x1) Stepping(0x2)
Number of sockets:,2
Number of nodes(die):,8
Number of core complexes(CCX):,16
Number of physical cores:,48
Number of logical cores (threads) :,96
SMT Enabled:,True
Number of logical cores sharing L3:,6

CPU Topology:
Socket, Die, CCX, Core(s)
0,0,0, 0 1 2 48 49 50
0,0,1, 3 4 5 51 52 53
0,1,2, 6 7 8 54 55 56
0,1,3, 9 10 11 57 58 59
0,2,4, 12 13 14 60 61 62
0,2,5, 15 16 17 63 64 65
0,3,6, 18 19 20 66 67 68
0,3,7, 21 22 23 69 70 71
1,4,8, 24 25 26 72 73 74
1,4,9, 27 28 29 75 76 77
1,5,10, 30 31 32 78 79 80
1,5,11, 33 34 35 81 82 83
1,6,12, 36 37 38 84 85 86
1,6,13, 39 40 41 87 88 89
1,7,14, 42 43 44 90 91 92
1,7,15, 45 46 47 93 94 95

P0 state frequency (MHz):,2000.000000
Measured DF Frequency (MHz):,1199.983765
Sampling interval (ms):,1000
Version:,3.2.228

IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles

Core-3 (ccx-1 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-4 (ccx-1 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-5 (ccx-1 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-51 (ccx-1 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-52 (ccx-1 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-53 (ccx-1 die-0 pkg-0),,,,,,,,,,,,,,,,,CCX-1(die-0 pkg-0),,,
Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),L3 Access (pti),L3 Miss (pti),Ave L3 Miss Latency,
0.36,1198.81,0.08,12.67,574.62,97.96,15.48,59.90,20.95,69.58,35.54,18.36,15.68,56.88,30.12,19.78,5.27,0.09,1195.94,0.22,4.60,597.62,100.23,56.78,15.89,23.24,30.52,8.16,4.72,17.65,44.62,17.02,19.41,5.59,0.78,1199.60,0.07,14.47,610.64,108.93,63.61,30.41,9.83,18.25,4.94,6.09,7.22,30.37,11.78,14.85,2.61,0.37,1199.12,0.14,7.24,528.94,44.27,4.91,21.69,16.56,34.41,4.89,17.33,12.20,21.57,10.48,5.94,4.36,0.10,1196.27,0.27,3.73,620.53,95.97,60.99,26.83,3.15,23.64,15.74,5.52,2.39,48.39,34.29,12.71,0.77,0.07,1195.47,0.02,51.23,482.68,30.27,3.60,7.09,17.58,29.84,10.51,7.40,11.92,37.43,15.14,14.94,5.66,51.30,10.32,272.31,
0.52,1229.55,0.03,36.36,541.53,64.79,20.29,22.11,20.18,26.61,4.89,5.69,16.03,15.65,8.04,3.18,4.15,0.84,1353.85,0.00,645.01,470.44,162.39,92.63,41.94,23.82,139.97,83.31,38.67,17.98,50.86,41.26,4.03,5.83,4.13,2419.39,0.28,3.54,540.07,88.10,41.55,26.72,17.18,29.19,1.35,14.39,13.45,35.87,24.30,6.69,3.73,0.49,1292.61,0.31,3.20,523.33,43.67,3.59,23.02,15.99,31.38,2.36,16.94,12.08,9.84,0.73,4.79,3.90,64.36,2729.90,1.97,0.51,404.26,28.74,12.07,12.89,3.57,5.43,1.22,1.27,2.94,43.72,26.83,16.04,0.62,1.47,1383.66,0.14,7.31,480.53,42.78,15.41,10.07,15.69,30.74,3.86,14.25,12.63,28.96,19.49,5.33,3.06,4.33,2.37,303.02,
0.09,1289.50,0.10,10.51,508.70,38.69,14.54,7.63,15.05,23.51,6.99,5.78,10.75,14.26,6.78,2.87,4.30,0.20,2728.66,0.00,672.53,460.00,144.94,87.49,39.89,11.65,10.60,0.14,2.09,8.37,5.90,0.20,2.32,3.28,0.40,1322.77,0.05,21.71,550.57,93.79,48.59,30.00,12.79,23.79,1.22,13.42,9.15,33.94,22.16,6.89,3.64,0.59,1294.34,1.12,0.90,529.26,47.51,6.32,21.94,18.10,31.91,1.77,16.68,13.47,10.82,0.56,5.17,4.64,87.59,2814.10,2.04,0.49,436.11,44.68,17.55,12.87,14.00,13.92,0.11,1.86,11.95,5.47,0.31,2.70,2.05,0.09,1279.75,0.01,83.85,438.84,15.79,1.26,5.22,8.18,20.99,1.67,14.94,4.37,30.54,20.18,5.32,3.81,3.73,2.28,273.45,
0.08,1311.71,0.01,169.97,490.59,33.31,5.88,7.29,18.72,30.04,8.06,6.95,15.03,9.45,2.68,2.64,3.69,0.05,2964.88,0.15,6.58,516.38,55.58,26.21,19.92,7.22,6.40,0.11,1.80,4.49,5.26,0.09,2.37,2.73,0.09,1311.72,0.32,3.13,522.10,82.67,38.68,26.66,15.41,27.19,1.00,13.05,13.15,34.22,23.55,7.30,2.27,0.34,1302.76,0.12,8.20,520.18,44.79,2.16,22.79,18.93,31.89,0.93,16.79,14.18,12.13,0.46,6.48,4.75,0.05,2963.44,0.09,10.98,436.21,21.73,0.53,5.99,13.44,12.55,0.11,1.61,10.83,5.58,0.00,2.67,2.62,0.07,1308.75,0.12,8.39,440.22,15.87,1.45,3.91,9.52,20.28,1.29,13.92,5.07,31.22,20.04,5.70,4.45,8.79,1.55,513.09,
0.08,1322.38,0.02,63.30,508.35,46.58,14.89,7.70,22.51,31.54,6.73,5.86,18.95,12.58,5.44,3.27,3.56,0.04,2988.97,0.18,5.62,493.14,57.69,20.46,19.73,16.06,14.45,0.02,1.91,12.52,6.77,0.93,2.32,3.54,0.69,1331.82,0.21,4.75,533.87,93.21,42.46,33.61,15.54,36.75,0.95,22.09,13.70,52.58,38.15,11.61,1.83,0.32,1327.18,0.31,3.25,521.79,44.74,2.68,22.16,18.99,33.02,1.77,16.99,14.27,11.12,0.54,5.41,4.72,0.04,2946.96,0.10,9.64,434.34,21.68,0.51,5.93,14.00,12.18,0.11,1.65,10.41,7.27,0.88,2.64,3.59,0.07,1311.73,0.01,125.68,453.40,28.47,6.19,4.58,16.62,32.01,3.53,16.27,12.21,33.81,23.40,4.94,4.41,21.56,8.30,850.72,
0.09,1323.26,0.13,7.96,535.12,53.73,21.29,10.72,19.48,42.13,4.00,22.37,15.76,28.82,17.30,5.93,3.72,0.06,2678.86,0.05,22.08,527.89,66.76,32.14,19.40,13.57,34.93,4.72,20.25,9.97,36.81,24.23,7.71,3.60,0.72,1317.07,0.40,2.52,589.18,113.20,59.13,36.13,15.47,37.55,1.54,22.25,13.77,52.25,38.48,11.17,1.70,0.42,1297.70,1.61,0.62,527.94,45.51,4.28,21.99,18.22,33.07,1.88,17.69,13.50,12.42,2.00,5.17,4.72,0.05,2893.23,0.03,31.53,487.92,45.48,18.64,10.80,13.84,32.59,1.42,20.67,10.49,35.39,21.96,8.60,3.34,0.07,1318.34,0.03,31.39,514.12,59.96,28.72,13.61,15.76,39.76,3.87,23.65,12.24,36.93,26.93,5.12,3.53,36.44,7.50,544.50,
0.11,1198.50,0.08,12.15,512.11,43.65,16.99,7.55,17.55,26.79,7.46,6.08,13.26,13.58,6.06,2.83,4.29,0.09,1201.25,0.26,3.78,489.00,55.95,20.95,19.78,13.78,12.00,0.02,2.05,9.92,6.34,0.07,2.30,3.86,1.12,1203.05,0.21,4.67,533.05,91.77,40.68,34.23,15.57,36.92,0.93,22.17,13.82,51.30,36.99,11.56,1.75,0.39,1199.69,1.12,0.90,529.07,47.40,5.28,22.19,18.75,33.05,2.03,16.98,14.05,11.49,0.83,5.48,4.71,0.09,1200.66,0.16,6.30,445.89,22.88,4.42,7.45,9.26,7.80,0.16,2.01,5.63,6.69,0.05,2.72,3.64,0.09,1201.76,0.01,129.29,436.03,20.32,0.96,4.70,13.57,27.52,2.12,14.42,10.97,30.40,21.90,5.18,2.60,15.69,5.61,373.08,
0.09,1197.69,0.01,67.84,491.96,32.92,5.55,6.86,18.86,39.22,13.68,10.97,14.57,20.81,9.49,6.17,4.29,0.08,1198.70,0.26,3.79,484.06,55.43,20.83,18.32,14.57,18.77,3.09,4.75,10.93,26.09,15.54,6.31,3.64,0.80,1199.38,0.46,2.18,529.49,90.45,39.08,34.94,15.30,36.12,1.20,21.63,13.28,51.03,35.47,12.38,2.02,0.37,1199.66,0.29,3.50,524.24,44.83,2.96,22.07,18.81,31.61,0.90,16.63,14.09,11.78,0.77,5.83,4.72,0.07,1198.39,0.16,6.15,434.41,20.14,0.47,7.15,10.92,9.78,0.11,2.30,7.36,8.34,0.90,3.77,3.55,0.07,1199.26,0.02,59.63,440.29,20.62,1.82,5.09,12.26,27.36,3.23,15.10,9.03,32.49,22.40,6.28,3.23,15.44,5.52,294.20,
0.10,1202.68,0.01,126.05,511.99,40.22,16.25,8.97,13.35,41.70,18.89,13.05,9.75,54.70,36.17,12.89,3.60,0.08,1205.84,0.10,9.78,550.02,80.58,51.79,15.13,9.28,16.54,4.18,5.51,6.84,13.05,6.25,3.73,2.44,1.20,1322.41,0.18,5.60,587.11,145.39,71.22,40.42,29.81,113.93,49.59,39.83,24.51,48.47,32.04,9.72,5.30,0.54,1230.42,0.51,1.96,522.91,42.57,2.76,22.17,16.68,31.37,2.04,17.02,12.30,12.37,2.91,4.55,4.38,2.25,1218.25,0.54,1.84,637.85,200.75,147.10,30.89,16.77,49.36,16.99,18.34,14.03,57.48,40.45,11.91,2.74,13.25,2419.78,1.97,0.51,445.80,47.50,30.76,13.18,3.16,3.98,0.22,1.04,2.71,25.21,17.75,6.91,0.45,8.13,2.78,283.22,
0.14,1395.90,0.07,14.10,563.52,116.60,61.91,32.53,18.10,55.72,24.04,17.61,14.08,32.22,20.30,7.00,4.02,1.04,1282.74,0.92,1.08,658.45,68.93,31.87,17.56,16.99,15.98,0.30,2.03,13.66,7.05,1.37,2.37,3.34,0.73,2977.07,0.03,39.74,547.14,164.00,81.08,46.46,30.61,114.30,48.35,40.78,25.17,45.14,29.08,9.36,5.44,2.20,1963.47,1.20,0.84,645.16,51.73,14.53,18.71,16.89,30.90,0.84,17.45,12.60,9.40,0.87,3.84,4.29,0.14,1312.21,0.25,3.97,575.15,113.52,58.57,34.44,16.58,15.45,0.11,1.77,13.57,6.54,0.66,2.74,3.01,100.00,2993.01,2.34,0.43,437.53,32.96,20.54,9.00,3.22,4.13,0.25,1.11,2.77,28.25,19.85,7.86,0.45,1.59,0.81,470.72,
