
AMDuProfPcm Report

System:,Family(0x17) Model(0x1) Stepping(0x2)
Number of sockets:,2
Number of nodes(die):,8
Number of core complexes(CCX):,16
Number of physical cores:,48
Number of logical cores (threads) :,96
SMT Enabled:,True
Number of logical cores sharing L3:,6

CPU Topology:
Socket, Die, CCX, Core(s)
0,0,0, 0 1 2 48 49 50
0,0,1, 3 4 5 51 52 53
0,1,2, 6 7 8 54 55 56
0,1,3, 9 10 11 57 58 59
0,2,4, 12 13 14 60 61 62
0,2,5, 15 16 17 63 64 65
0,3,6, 18 19 20 66 67 68
0,3,7, 21 22 23 69 70 71
1,4,8, 24 25 26 72 73 74
1,4,9, 27 28 29 75 76 77
1,5,10, 30 31 32 78 79 80
1,5,11, 33 34 35 81 82 83
1,6,12, 36 37 38 84 85 86
1,6,13, 39 40 41 87 88 89
1,7,14, 42 43 44 90 91 92
1,7,15, 45 46 47 93 94 95

P0 state frequency (MHz):,2000.000000
Measured DF Frequency (MHz):,629.045654
Sampling interval (ms):,1000
Version:,3.2.228

IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles

Core-3 (ccx-1 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-4 (ccx-1 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-5 (ccx-1 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-51 (ccx-1 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-52 (ccx-1 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-53 (ccx-1 die-0 pkg-0),,,,,,,,,,,,,,,,,CCX-1(die-0 pkg-0),,,
Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),L3 Access (pti),L3 Miss (pti),Ave L3 Miss Latency,
0.11,1197.88,0.29,3.49,545.59,32.47,20.52,9.64,0.14,2.77,0.39,2.30,0.07,10.87,8.55,1.97,0.07,0.10,1197.98,0.27,3.64,541.39,48.78,18.42,25.98,0.07,28.02,8.14,19.85,0.04,22.24,12.79,7.93,0.04,0.10,1204.51,0.25,3.96,532.64,76.42,27.39,25.78,19.08,13.49,0.50,2.27,10.72,17.63,6.38,2.96,8.36,0.08,1198.48,0.22,4.49,540.03,36.34,21.18,12.36,0.18,21.36,15.25,6.07,0.04,20.49,15.35,4.26,0.14,0.10,1198.65,0.33,3.04,543.41,56.51,25.31,26.60,0.14,25.51,9.36,16.04,0.11,68.70,47.87,19.11,0.04,0.10,1197.67,0.34,2.93,532.18,48.84,18.25,26.30,0.36,14.76,8.79,5.72,0.25,23.90,18.38,4.88,0.11,21.69,3.83,353.71,
0.08,1198.14,0.30,3.30,512.07,27.46,17.04,8.48,0.43,2.62,0.16,2.14,0.32,5.22,3.44,1.51,0.11,0.08,1198.19,0.30,3.36,496.85,43.01,14.60,25.16,0.36,3.24,0.57,2.53,0.14,8.77,6.13,2.20,0.21,0.38,1199.65,0.27,3.75,498.99,46.16,18.76,25.11,0.21,3.10,0.32,2.60,0.18,8.89,6.16,2.78,0.04,0.07,1198.41,0.24,4.22,501.54,22.33,10.44,10.33,0.14,1.93,0.11,1.68,0.14,5.82,3.76,2.08,0.00,0.10,1198.62,0.36,2.76,502.53,49.90,21.39,25.34,0.50,22.34,7.08,15.08,0.18,40.85,26.04,13.22,0.32,0.08,1198.60,0.37,2.74,502.18,44.35,16.91,24.99,0.21,5.43,2.62,2.78,0.04,15.30,11.44,3.58,0.18,4.50,1.35,356.04,
0.09,1197.93,0.30,3.31,534.08,46.89,24.34,19.56,0.21,3.00,0.30,2.67,0.04,2.61,0.83,1.58,0.18,0.08,1198.04,0.30,3.39,523.55,59.05,24.31,31.85,0.29,26.75,7.45,19.13,0.18,24.88,9.37,13.47,0.11,0.07,1194.66,0.27,3.76,542.60,84.08,33.53,24.73,23.15,18.67,-0.05,2.18,16.53,14.82,5.13,3.21,6.61,0.07,1197.30,0.28,3.53,522.34,42.54,15.63,23.68,0.04,1.85,-0.05,1.90,0.00,3.04,0.88,2.17,0.04,0.09,1197.79,0.37,2.73,519.23,53.07,17.78,32.71,0.18,44.55,19.36,25.19,0.00,44.76,31.28,11.63,0.18,0.08,1197.90,0.35,2.82,524.31,45.10,17.17,25.24,0.43,20.21,14.55,5.30,0.36,10.57,6.99,3.10,0.07,26.33,6.81,336.10,
0.08,1199.09,0.29,3.49,543.75,30.98,18.73,9.64,0.14,2.10,0.12,1.95,0.04,3.17,1.67,1.51,0.11,0.09,1199.14,0.29,3.41,508.90,48.06,19.16,25.39,0.32,3.00,0.27,2.51,0.21,8.77,6.06,2.24,0.11,0.37,1200.44,0.26,3.82,515.15,55.62,26.82,25.30,0.18,2.30,0.09,2.17,0.04,8.95,5.89,3.10,0.14,0.06,1199.79,0.22,4.50,545.60,41.53,21.65,12.06,4.60,4.61,0.11,1.52,2.98,5.32,1.77,2.08,1.63,0.10,1199.49,0.36,2.79,512.01,50.61,17.36,25.95,4.22,25.94,7.85,15.29,2.80,42.18,26.68,12.85,1.42,0.08,1199.25,0.35,2.83,508.94,48.05,14.41,24.66,5.36,11.09,4.22,3.27,3.59,22.02,15.64,4.43,1.77,5.89,1.38,354.23,
0.09,1198.28,0.31,3.18,506.55,30.86,7.74,18.65,2.34,4.05,0.53,2.16,1.36,7.07,4.57,1.60,0.99,0.08,1198.56,0.31,3.20,497.70,50.86,15.32,32.52,0.64,22.66,6.41,15.94,0.32,20.49,9.91,9.62,0.32,0.07,1195.24,0.29,3.47,504.59,62.74,20.51,25.09,15.14,9.62,0.48,2.11,7.03,18.26,7.70,2.70,8.11,0.07,1201.18,0.23,4.35,488.02,38.48,12.05,23.84,0.07,1.82,0.02,1.76,0.04,3.36,1.76,1.81,0.04,0.09,1200.86,0.31,3.20,492.01,45.76,10.63,32.93,0.07,18.12,6.06,11.99,0.07,54.71,36.09,16.81,0.00,0.08,1201.61,0.30,3.32,495.35,39.48,12.35,24.99,0.25,4.21,1.71,2.40,0.11,13.08,9.39,3.30,0.14,5.72,2.24,329.00,
0.08,1201.26,0.29,3.49,501.60,22.50,11.59,8.95,0.48,22.94,7.18,15.69,0.07,36.86,19.12,16.38,0.41,0.08,1198.86,0.30,3.37,495.65,71.00,19.35,25.29,23.73,69.38,29.78,22.43,17.17,47.68,26.98,12.48,6.56,0.38,1199.74,0.31,3.22,507.56,63.44,23.54,34.60,3.40,8.02,2.18,3.44,2.39,14.88,12.12,2.10,1.01,0.06,1194.26,0.25,3.93,494.35,26.73,12.92,11.39,0.43,2.29,0.08,2.10,0.11,5.35,1.87,3.07,0.32,0.09,1196.49,0.37,2.71,493.97,44.32,14.42,25.89,1.30,24.39,6.60,16.62,1.16,39.98,24.67,13.11,0.14,0.08,1196.58,0.24,4.24,496.37,62.25,12.84,25.70,21.54,37.12,14.50,8.18,14.44,36.19,21.53,6.25,7.10,5.51,2.25,331.87,
0.09,1196.25,0.01,84.49,552.13,44.77,30.89,11.27,0.10,2.41,0.21,2.14,0.07,3.15,1.00,2.14,0.03,0.12,1199.04,0.01,133.30,538.76,54.55,26.72,24.49,0.25,28.16,9.34,18.72,0.11,25.04,13.19,10.01,0.14,0.09,1198.35,0.01,106.95,520.10,76.85,30.20,32.25,11.68,7.45,0.07,2.34,5.04,14.92,5.82,2.74,6.64,0.08,1199.00,0.02,66.50,534.26,54.16,15.45,35.64,0.39,2.95,0.27,2.51,0.16,2.20,0.88,1.04,0.23,0.11,1198.64,0.01,83.99,533.45,62.18,20.04,38.59,0.25,30.29,10.95,19.20,0.14,55.67,37.80,16.16,0.11,0.13,1198.96,0.01,96.86,525.64,61.56,21.13,38.05,0.25,8.98,4.90,3.84,0.25,13.90,10.54,3.07,0.00,18.12,5.75,311.00,
0.08,1198.43,0.28,3.54,548.26,32.66,20.73,9.13,0.43,3.69,1.09,2.50,0.11,8.07,6.06,1.74,0.32,0.13,1198.95,0.33,3.05,614.53,151.50,67.66,46.85,31.65,87.13,35.14,29.44,22.55,48.48,26.77,11.52,9.10,0.37,1200.30,0.00,243.59,495.65,52.02,23.64,24.82,1.39,6.76,2.84,3.10,0.82,14.87,12.77,2.08,0.57,0.07,1198.17,0.25,3.95,538.17,33.10,18.25,11.19,0.61,2.27,0.13,1.93,0.21,4.82,1.87,2.59,0.39,0.10,1198.64,0.35,2.86,513.42,47.67,17.45,25.61,1.47,34.82,12.64,21.13,1.05,44.41,31.53,9.80,0.42,0.12,1198.65,0.40,2.47,524.54,104.67,41.22,40.24,21.12,28.08,3.29,11.57,13.23,45.65,25.67,11.42,7.89,21.64,6.70,295.82,
0.08,1197.81,0.30,3.30,515.64,22.00,12.11,8.07,0.14,2.14,0.09,2.01,0.04,4.71,2.52,2.22,0.11,0.12,1198.97,0.29,3.43,535.76,66.81,29.68,33.27,1.25,46.38,19.38,26.03,0.96,30.06,18.24,10.19,0.29,0.07,1195.06,0.01,69.41,497.96,72.89,25.89,25.74,18.12,14.48,1.03,2.75,10.70,17.30,6.86,3.14,7.42,0.06,1198.59,0.24,4.10,494.52,21.31,8.94,10.00,0.07,1.95,0.11,1.80,0.04,2.93,1.78,1.32,0.04,0.09,1198.38,0.25,3.92,522.93,48.46,16.77,26.65,0.46,27.84,11.14,16.34,0.36,57.54,40.67,15.00,0.11,0.14,1199.34,0.02,43.74,511.32,66.66,30.48,32.90,0.78,19.29,7.49,11.40,0.39,28.24,19.98,7.12,0.39,7.43,2.80,303.70,
0.09,1198.67,0.31,3.19,510.23,33.67,9.42,19.06,3.12,3.77,0.19,2.16,1.42,5.42,1.83,2.02,1.70,0.15,1199.14,0.34,2.98,636.91,156.14,68.38,50.51,30.67,24.48,0.63,2.56,21.29,18.31,6.32,2.20,9.39,0.37,1200.31,0.00,340.58,493.60,70.32,19.42,25.01,23.60,18.86,0.20,2.31,16.35,16.61,6.59,3.01,7.26,0.07,1198.09,0.30,3.33,496.14,35.47,7.31,22.72,2.86,3.75,0.14,1.92,1.69,3.84,1.77,1.00,1.17,0.10,1198.83,0.27,3.64,545.67,65.24,18.21,35.21,7.52,52.06,24.08,23.17,4.81,35.90,23.06,8.60,2.71,0.13,1198.64,0.45,2.23,516.84,110.51,43.87,42.41,22.34,21.57,3.81,2.75,15.02,19.29,9.25,2.56,7.32,26.27,7.20,283.67,
