CoreId      L1 DTLB Miss    L1 ITLB Miss-L2 hit   L1 ITLB Miss-L2 miss
   0         4551297226       607990886               1748502
   1         1111870900       23207744                1841741        
   2         2106400313       157239718               1331677 
   3         62647514         4543406                 1099389    
   4         1747330907       214799170               1762504       
   5         371241422        5242596                 1151919       
   6         3805062760       674078382               2146272     
   7         4803309113       986535244               6446020
   8         10668272149      1111194969              1478101    
   9         854520966        4707138                 656993
  10         995319904        116081581               799826
  11         493784055        4117684                 632650
  48         2533514110       69444901                1824252
  49         45902088         2986793                 1399514
  50         4601860110       1010994248              8404617
  51         53788276         3791021                 1232328
  52         1792864596       219647383               1554455
  53         46272647         3588933                 1034552
  54         18338809408      1029835375              2502793
  55         10136304434      1196400860              2169065
  56         2496668765       421403484               1447699
  57         41729649         2680345                 681915
  58         373910917        5040625                 498027
  59         2312254000       114931379               1677379
