CPCLI>>> CoreId     Event      Count-Value
CPCLI>>>   0        0x45       4551297226
CPCLI>>>   0        0x84       607990886
CPCLI>>>   0        0x85       1748502
CPCLI>>>   1        0x45       1111870900
CPCLI>>>   1        0x84       23207744
CPCLI>>>   1        0x85       1841741
CPCLI>>>   2        0x45       2106400313
CPCLI>>>   2        0x84       157239718
CPCLI>>>   2        0x85       1331677
CPCLI>>>   3        0x45       62647514
CPCLI>>>   3        0x84       4543406
CPCLI>>>   3        0x85       1099389
CPCLI>>>   4        0x45       1747330907
CPCLI>>>   4        0x84       214799170
CPCLI>>>   4        0x85       1762504
CPCLI>>>   5        0x45       371241422
CPCLI>>>   5        0x84       5242596
CPCLI>>>   5        0x85       1151919
CPCLI>>>   6        0x45       3805062760
CPCLI>>>   6        0x84       674078382
CPCLI>>>   6        0x85       2146272
CPCLI>>>   7        0x45       4803309113
CPCLI>>>   7        0x84       986535244
CPCLI>>>   7        0x85       6446020
CPCLI>>>   8        0x45       10668272149
CPCLI>>>   8        0x84       1111194969
CPCLI>>>   8        0x85       1478101
CPCLI>>>   9        0x45       854520966
CPCLI>>>   9        0x84       4707138
CPCLI>>>   9        0x85       656993
CPCLI>>>  10        0x45       995319904
CPCLI>>>  10        0x84       116081581
CPCLI>>>  10        0x85       799826
CPCLI>>>  11        0x45       493784055
CPCLI>>>  11        0x84       4117684
CPCLI>>>  11        0x85       632650
CPCLI>>>  48        0x45       2533514110
CPCLI>>>  48        0x84       69444901
CPCLI>>>  48        0x85       1824252
CPCLI>>>  49        0x45       45902088
CPCLI>>>  49        0x84       2986793
CPCLI>>>  49        0x85       1399514
CPCLI>>>  50        0x45       4601860110
CPCLI>>>  50        0x84       1010994248
CPCLI>>>  50        0x85       8404617
CPCLI>>>  51        0x45       53788276
CPCLI>>>  51        0x84       3791021
CPCLI>>>  51        0x85       1232328
CPCLI>>>  52        0x45       1792864596
CPCLI>>>  52        0x84       219647383
CPCLI>>>  52        0x85       1554455
CPCLI>>>  53        0x45       46272647
CPCLI>>>  53        0x84       3588933
CPCLI>>>  53        0x85       1034552
CPCLI>>>  54        0x45       18338809408
CPCLI>>>  54        0x84       1029835375
CPCLI>>>  54        0x85       2502793
CPCLI>>>  55        0x45       10136304434
CPCLI>>>  55        0x84       1196400860
CPCLI>>>  55        0x85       2169065
CPCLI>>>  56        0x45       2496668765
CPCLI>>>  56        0x84       421403484
CPCLI>>>  56        0x85       1447699
CPCLI>>>  57        0x45       41729649
CPCLI>>>  57        0x84       2680345
CPCLI>>>  57        0x85       681915
CPCLI>>>  58        0x45       373910917
CPCLI>>>  58        0x84       5040625
CPCLI>>>  58        0x85       498027
CPCLI>>>  59        0x45       2312254000
CPCLI>>>  59        0x84       114931379
CPCLI>>>  59        0x85       1677379
