CoreId     L1 DTLB Miss    L1 ITLB Miss-L2 hit   L1 ITLB Miss-L2 miss
   0        14280820            24363               434849
   1        1578834             29868               225850
   2        1923446             15137               191319
   3        1036279             18082               101408
   4        728910              1683                67142
   5        1092836             2611                88826
   6        1987417             43                  347058
   7        493575              79                  59420
   8        122230              0                   11212
   9        3882937             50616               559952
  10        7068977             120813              1034152
  11        6420744             47099               1037436
  48        1454842             16957               183492
  49        2327730             12227               307024
  50        2883819             31115               469361
  51        1352705             19511               166733
  52        1162287             1783                134037
  53        909753              5746                71218
  54        1973888             116                 374455
  55        987987              104                 117395
  56        1317380             62                  190858
  57        6752697             29430               990120
  58        6309420             68825               926458
  59        5875416             61388               801169
