CPCLI>>> CoreId     Event      Count-Value
CPCLI>>>   0        0x45       14280820
CPCLI>>>   0        0x84       24363
CPCLI>>>   0        0x85       434849
CPCLI>>>   1        0x45       1578834
CPCLI>>>   1        0x84       29868
CPCLI>>>   1        0x85       225850
CPCLI>>>   2        0x45       1923446
CPCLI>>>   2        0x84       15137
CPCLI>>>   2        0x85       191319
CPCLI>>>   3        0x45       1036279
CPCLI>>>   3        0x84       18082
CPCLI>>>   3        0x85       101408
CPCLI>>>   4        0x45       728910
CPCLI>>>   4        0x84       1683
CPCLI>>>   4        0x85       67142
CPCLI>>>   5        0x45       1092836
CPCLI>>>   5        0x84       2611
CPCLI>>>   5        0x85       88826
CPCLI>>>   6        0x45       1987417
CPCLI>>>   6        0x84       43
CPCLI>>>   6        0x85       347058
CPCLI>>>   7        0x45       493575
CPCLI>>>   7        0x84       79
CPCLI>>>   7        0x85       59420
CPCLI>>>   8        0x45       122230
CPCLI>>>   8        0x84       0
CPCLI>>>   8        0x85       11212
CPCLI>>>   9        0x45       3882937
CPCLI>>>   9        0x84       50616
CPCLI>>>   9        0x85       559952
CPCLI>>>  10        0x45       7068977
CPCLI>>>  10        0x84       120813
CPCLI>>>  10        0x85       1034152
CPCLI>>>  11        0x45       6420744
CPCLI>>>  11        0x84       47099
CPCLI>>>  11        0x85       1037436
CPCLI>>>  48        0x45       1454842
CPCLI>>>  48        0x84       16957
CPCLI>>>  48        0x85       183492
CPCLI>>>  49        0x45       2327730
CPCLI>>>  49        0x84       12227
CPCLI>>>  49        0x85       307024
CPCLI>>>  50        0x45       2883819
CPCLI>>>  50        0x84       31115
CPCLI>>>  50        0x85       469361
CPCLI>>>  51        0x45       1352705
CPCLI>>>  51        0x84       19511
CPCLI>>>  51        0x85       166733
CPCLI>>>  52        0x45       1162287
CPCLI>>>  52        0x84       1783
CPCLI>>>  52        0x85       134037
CPCLI>>>  53        0x45       909753
CPCLI>>>  53        0x84       5746
CPCLI>>>  53        0x85       71218
CPCLI>>>  54        0x45       1973888
CPCLI>>>  54        0x84       116
CPCLI>>>  54        0x85       374455
CPCLI>>>  55        0x45       987987
CPCLI>>>  55        0x84       104
CPCLI>>>  55        0x85       117395
CPCLI>>>  56        0x45       1317380
CPCLI>>>  56        0x84       62
CPCLI>>>  56        0x85       190858
CPCLI>>>  57        0x45       6752697
CPCLI>>>  57        0x84       29430
CPCLI>>>  57        0x85       990120
CPCLI>>>  58        0x45       6309420
CPCLI>>>  58        0x84       68825
CPCLI>>>  58        0x85       926458
CPCLI>>>  59        0x45       5875416
CPCLI>>>  59        0x84       61388
CPCLI>>>  59        0x85       801169
Profile data collection completed
