
AMDuProfPcm Report

System:,Family(0x17) Model(0x1) Stepping(0x2)
Number of sockets:,2
Number of nodes(die):,8
Number of core complexes(CCX):,16
Number of physical cores:,48
Number of logical cores (threads) :,96
SMT Enabled:,True
Number of logical cores sharing L3:,6

CPU Topology:
Socket, Die, CCX, Core(s)
0,0,0, 0 1 2 48 49 50
0,0,1, 3 4 5 51 52 53
0,1,2, 6 7 8 54 55 56
0,1,3, 9 10 11 57 58 59
0,2,4, 12 13 14 60 61 62
0,2,5, 15 16 17 63 64 65
0,3,6, 18 19 20 66 67 68
0,3,7, 21 22 23 69 70 71
1,4,8, 24 25 26 72 73 74
1,4,9, 27 28 29 75 76 77
1,5,10, 30 31 32 78 79 80
1,5,11, 33 34 35 81 82 83
1,6,12, 36 37 38 84 85 86
1,6,13, 39 40 41 87 88 89
1,7,14, 42 43 44 90 91 92
1,7,15, 45 46 47 93 94 95

P0 state frequency (MHz):,2000.000000
Measured DF Frequency (MHz):,629.542542
Sampling interval (ms):,1000
Version:,3.2.228

IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles

Core-6 (ccx-2 die-1 pkg-0),,,,,,,,,,,,,,,,,Core-7 (ccx-2 die-1 pkg-0),,,,,,,,,,,,,,,,,Core-8 (ccx-2 die-1 pkg-0),,,,,,,,,,,,,,,,,Core-54 (ccx-2 die-1 pkg-0),,,,,,,,,,,,,,,,,Core-55 (ccx-2 die-1 pkg-0),,,,,,,,,,,,,,,,,Core-56 (ccx-2 die-1 pkg-0),,,,,,,,,,,,,,,,,CCX-2(die-1 pkg-0),,,
Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),L3 Access (pti),L3 Miss (pti),Ave L3 Miss Latency,
1.02,1199.19,0.45,2.23,580.88,115.62,50.44,44.29,17.46,31.73,0.63,19.60,11.50,58.87,29.01,22.65,5.96,0.29,1198.31,0.36,2.77,597.02,113.68,48.46,42.99,17.50,46.50,12.54,22.77,11.19,47.70,25.85,14.39,6.32,0.23,1197.96,0.02,42.47,575.48,110.24,42.01,42.15,21.49,16.81,0.49,2.31,14.00,16.63,7.24,1.93,7.48,0.21,1196.72,0.11,9.52,551.31,71.81,24.43,41.03,1.20,3.23,0.07,2.32,0.84,7.16,3.91,2.48,0.35,0.19,1197.66,0.27,3.64,554.30,73.64,25.43,41.79,1.41,3.18,0.02,2.46,0.70,4.43,2.12,1.63,0.70,0.37,1198.61,0.07,14.76,561.77,105.66,40.17,44.21,17.45,38.37,6.14,20.83,11.40,52.51,26.07,18.91,6.05,65.33,16.70,306.65,
0.89,1199.64,0.44,2.29,573.73,115.69,49.94,44.05,18.32,34.99,1.70,21.09,12.21,55.17,26.74,21.15,6.11,0.21,1199.38,0.38,2.64,562.87,110.06,43.71,44.00,19.13,50.42,14.99,23.19,12.24,49.29,28.59,12.59,6.89,0.13,1199.30,0.01,68.07,551.85,99.24,31.26,42.65,21.98,19.70,0.81,2.97,15.92,15.71,7.87,1.80,6.06,0.11,1199.54,0.11,8.71,542.47,85.90,28.98,43.57,9.07,8.65,0.02,2.68,5.95,10.72,4.35,2.79,3.13,0.10,1199.02,0.27,3.69,541.87,77.62,23.44,40.61,9.52,8.83,0.09,2.55,6.19,7.76,2.17,2.19,3.33,0.28,1200.42,0.06,15.43,512.24,90.79,25.98,43.55,18.89,40.74,6.90,20.82,13.02,53.10,27.35,18.39,5.87,56.55,17.70,302.72,
0.95,1199.77,0.44,2.27,570.80,115.64,50.88,43.83,17.05,33.02,1.86,20.03,11.13,56.74,27.69,21.56,5.92,0.24,1199.53,0.39,2.58,552.42,102.56,38.48,43.41,17.26,30.45,3.55,16.12,10.79,55.41,30.41,17.63,6.47,0.14,1199.48,0.02,58.82,558.52,98.49,31.25,43.86,19.85,17.03,0.57,2.42,14.05,13.98,6.51,1.70,5.80,0.13,1199.55,0.12,8.43,547.70,78.71,27.02,45.36,1.62,3.93,0.11,2.71,1.11,8.57,4.31,2.91,0.51,0.11,1199.58,0.22,4.63,529.32,70.29,25.20,41.00,0.14,2.51,0.00,2.40,0.11,14.03,11.23,2.38,0.04,0.30,1198.85,0.07,14.05,545.53,103.62,37.20,45.60,17.50,38.85,6.90,21.04,10.91,51.23,24.48,18.63,6.58,58.68,16.50,303.03,
0.90,1199.61,0.44,2.27,573.67,118.03,53.66,42.89,17.42,33.51,2.07,20.05,11.39,57.09,27.75,21.89,6.03,0.22,1199.50,0.37,2.72,549.84,110.13,47.77,41.58,17.33,43.67,10.58,22.24,10.85,49.81,26.50,15.51,6.48,0.12,1199.28,0.24,4.18,575.81,108.92,43.15,42.09,19.65,17.37,0.29,2.67,14.40,12.26,5.01,1.96,5.24,0.11,1198.75,0.12,8.37,556.29,80.43,29.81,43.73,1.94,3.87,0.00,2.67,1.20,8.54,4.54,2.72,0.74,0.10,1198.74,0.28,3.53,524.36,71.57,26.47,41.09,0.88,2.65,0.02,2.17,0.46,4.06,1.97,1.72,0.42,0.28,1198.85,0.46,2.20,555.69,107.75,44.80,42.11,17.56,39.75,7.90,20.65,11.20,54.22,27.88,18.73,6.37,63.09,16.31,307.40,
0.90,1199.70,0.41,2.42,590.36,119.21,53.34,43.84,18.38,35.01,1.93,21.19,11.89,53.84,26.11,20.11,6.49,0.21,1199.28,0.36,2.78,543.58,110.72,45.03,43.27,18.70,48.31,12.54,24.12,11.65,49.12,26.57,14.29,7.06,0.13,1199.08,0.09,10.64,562.64,125.12,38.62,42.57,40.30,31.49,0.92,2.68,27.89,20.86,6.55,1.96,12.40,0.11,1198.92,0.11,9.18,557.76,79.27,30.14,41.91,1.79,3.72,-0.04,2.61,1.15,8.41,4.42,2.89,0.64,0.11,1199.08,0.30,3.29,551.10,66.47,25.69,35.93,1.13,3.21,0.11,2.50,0.60,4.13,1.77,1.86,0.53,0.29,1199.80,0.39,2.58,579.53,99.99,52.67,42.21,1.30,30.17,7.86,21.38,0.93,43.51,25.99,16.00,0.36,64.96,17.93,302.37,
1.63,1202.61,0.99,1.01,472.03,67.82,29.81,14.59,21.78,37.14,1.69,20.27,15.19,57.70,27.22,22.78,6.59,0.25,1199.58,0.33,3.01,577.25,115.18,53.04,40.97,16.85,48.79,16.58,21.60,10.61,62.92,41.26,14.01,6.25,0.23,1199.98,0.08,13.19,682.29,169.34,89.82,51.48,20.60,18.15,0.00,2.00,16.15,11.41,4.61,1.98,4.46,0.29,1199.51,0.32,3.11,554.56,140.79,82.46,29.96,23.22,18.31,-0.02,2.61,15.72,15.07,4.42,2.76,7.49,0.14,1199.32,0.25,3.96,602.39,131.78,55.12,45.39,24.69,18.84,0.07,2.93,15.84,13.18,2.46,1.85,8.84,1.79,1199.85,1.46,0.68,460.60,32.70,22.03,6.18,3.40,38.59,21.65,15.40,1.53,19.95,12.19,5.11,1.87,32.52,7.73,297.89,
1.00,1199.59,0.44,2.28,597.95,126.14,56.05,43.17,23.26,36.19,0.69,19.20,16.30,57.99,28.78,21.18,6.96,0.26,1199.24,0.39,2.60,551.40,105.95,43.11,40.03,19.09,45.70,11.30,22.51,11.89,50.87,26.86,15.47,7.21,0.11,1197.60,0.32,3.15,565.20,94.68,47.61,34.86,8.80,9.69,0.04,1.93,7.71,3.41,0.83,1.46,1.09,0.12,1198.82,0.11,8.83,554.98,109.25,33.69,43.29,28.21,23.37,0.02,2.41,20.93,12.54,2.06,2.84,7.28,0.11,1198.83,0.21,4.72,547.40,107.01,36.86,36.40,29.58,23.73,0.11,2.39,21.23,12.22,2.01,1.86,8.35,0.11,1199.50,0.33,3.05,580.65,111.47,42.49,39.50,25.06,19.90,0.16,1.89,17.85,9.75,0.88,1.66,7.20,62.44,18.70,287.39,
1.08,1199.62,0.38,2.66,698.11,175.84,91.64,46.08,31.30,44.42,1.79,19.53,23.09,60.29,28.80,22.15,8.20,0.23,1199.41,0.30,3.29,619.18,139.42,65.67,43.56,25.14,51.37,11.65,22.29,17.43,51.67,27.46,15.32,7.71,0.14,1198.72,0.04,22.86,638.83,129.85,53.60,44.82,25.60,20.85,0.02,2.17,18.65,13.92,5.44,1.40,6.95,0.16,1199.12,0.23,4.33,673.08,176.62,86.34,46.84,35.66,30.02,-0.07,2.55,27.54,16.29,5.03,2.81,8.12,0.14,1199.08,0.32,3.16,594.72,142.33,55.41,48.43,32.84,24.25,0.00,2.41,21.83,15.10,1.99,2.06,11.01,0.41,1199.56,0.27,3.69,669.46,214.05,133.33,40.54,32.80,65.20,25.49,15.18,24.52,29.72,14.96,5.49,8.28,123.46,16.05,292.75,
1.02,1199.65,0.44,2.28,616.47,130.40,62.43,44.00,19.76,104.82,54.12,37.15,13.55,49.60,29.71,12.44,6.21,0.20,1200.11,0.35,2.86,568.69,111.10,47.79,39.63,20.10,33.49,2.14,18.13,13.22,53.63,28.03,17.62,6.88,0.12,1198.63,0.12,8.27,560.83,85.37,33.83,39.10,9.17,39.02,23.71,7.23,8.08,15.67,12.93,2.83,1.09,0.12,1198.86,0.08,12.09,564.55,104.05,36.77,35.06,27.64,79.63,30.21,28.29,21.12,45.88,29.59,7.60,6.52,0.12,1198.58,0.22,4.64,538.64,95.69,27.14,40.32,24.41,57.29,16.23,25.11,15.95,39.02,18.41,10.67,8.46,0.30,1199.44,0.10,9.93,562.29,108.87,38.20,36.25,30.74,126.89,71.65,32.64,22.60,60.45,38.06,12.89,8.14,64.14,15.91,290.86,
0.71,1199.47,0.26,3.88,611.83,131.35,64.54,35.09,25.92,22.00,1.37,2.22,18.41,11.10,1.62,1.85,7.51,0.55,1199.23,0.42,2.39,627.15,145.66,72.11,46.13,22.81,37.71,1.86,20.06,15.80,59.16,28.73,22.28,7.01,0.14,1198.91,0.08,11.81,630.38,131.51,57.87,44.56,23.79,20.83,0.02,2.25,18.56,9.98,3.15,1.62,5.23,0.16,1199.14,0.29,3.45,610.92,141.96,56.78,48.06,31.67,24.71,0.11,1.83,22.77,12.84,1.45,2.12,8.91,0.14,1199.49,0.16,6.25,579.71,129.78,43.60,48.97,32.97,24.41,0.00,2.79,21.61,15.47,2.10,2.03,11.36,0.44,1199.61,0.24,4.16,650.08,199.87,118.93,41.93,32.43,64.44,19.41,21.15,23.87,34.09,13.49,11.07,8.56,98.16,16.26,287.24,
