
AMDuProfPcm Report

System:,Family(0x17) Model(0x1) Stepping(0x2)
Number of sockets:,2
Number of nodes(die):,8
Number of core complexes(CCX):,16
Number of physical cores:,48
Number of logical cores (threads) :,96
SMT Enabled:,True
Number of logical cores sharing L3:,6

CPU Topology:
Socket, Die, CCX, Core(s)
0,0,0, 0 1 2 48 49 50
0,0,1, 3 4 5 51 52 53
0,1,2, 6 7 8 54 55 56
0,1,3, 9 10 11 57 58 59
0,2,4, 12 13 14 60 61 62
0,2,5, 15 16 17 63 64 65
0,3,6, 18 19 20 66 67 68
0,3,7, 21 22 23 69 70 71
1,4,8, 24 25 26 72 73 74
1,4,9, 27 28 29 75 76 77
1,5,10, 30 31 32 78 79 80
1,5,11, 33 34 35 81 82 83
1,6,12, 36 37 38 84 85 86
1,6,13, 39 40 41 87 88 89
1,7,14, 42 43 44 90 91 92
1,7,15, 45 46 47 93 94 95

P0 state frequency (MHz):,2000.000000
Measured DF Frequency (MHz):,697.542603
Sampling interval (ms):,1000
Version:,3.2.228

IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles

Core-0 (ccx-0 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-1 (ccx-0 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-2 (ccx-0 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-48 (ccx-0 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-49 (ccx-0 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-50 (ccx-0 die-0 pkg-0),,,,,,,,,,,,,,,,,CCX-0(die-0 pkg-0),,,
Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),L3 Access (pti),L3 Miss (pti),Ave L3 Miss Latency,
0.15,1201.94,0.06,17.84,525.63,55.65,15.56,19.11,17.88,13.75,0.16,2.06,11.53,9.71,1.95,1.47,6.35,0.10,1204.35,0.28,3.60,536.44,71.14,25.57,26.33,14.97,11.54,0.07,2.04,9.44,9.25,2.04,1.79,5.54,0.97,1199.76,0.04,23.98,545.04,100.55,39.96,31.18,25.02,32.29,6.95,5.85,19.49,11.56,3.25,2.49,5.52,0.11,1198.45,0.05,21.17,549.89,78.31,28.92,26.33,18.53,14.33,0.16,1.92,12.25,9.49,1.45,1.88,6.28,0.10,1204.46,0.29,3.40,539.93,63.86,16.31,26.09,17.01,13.17,0.29,2.29,10.59,11.17,1.75,2.97,6.43,0.23,1199.48,0.24,4.12,525.21,51.20,5.20,24.11,20.69,33.72,1.63,16.20,15.89,15.20,1.17,8.83,4.80,29.60,3.48,781.24,
0.56,1199.42,0.56,1.79,425.70,93.36,5.31,64.63,21.81,19.79,1.54,2.57,15.68,8.95,1.63,1.09,6.12,0.10,1196.47,0.27,3.66,556.95,73.88,27.83,25.50,16.46,13.25,0.59,2.31,10.34,11.69,3.03,2.50,6.12,0.11,1198.82,0.17,5.90,529.09,86.24,33.09,28.32,20.97,26.22,6.25,5.17,14.79,16.40,5.21,3.28,6.17,0.11,1196.60,0.07,14.91,550.60,86.41,27.34,28.30,25.40,20.14,0.10,1.68,18.36,11.22,1.44,2.74,7.04,0.09,1196.75,0.31,3.22,556.51,76.88,29.40,25.56,17.72,13.68,0.15,1.81,11.72,10.81,1.85,2.82,6.00,0.23,1199.38,1.08,0.93,520.68,50.62,4.36,24.15,21.21,34.23,3.13,15.17,15.93,15.48,1.23,8.47,5.28,60.64,12.89,321.59,
0.53,1199.70,0.76,1.31,423.49,99.03,4.37,67.20,26.20,22.48,0.16,2.06,20.26,8.35,1.49,0.94,5.94,0.10,1200.90,0.04,23.13,540.18,65.90,18.02,26.50,17.10,12.90,0.11,1.90,10.88,9.55,1.68,1.77,6.22,4.03,1200.00,1.28,0.78,799.60,0.18,0.08,0.08,0.01,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.11,1198.41,0.12,8.21,574.02,101.58,43.15,28.60,24.63,19.47,0.02,1.70,17.74,10.55,1.45,2.35,6.88,0.11,1198.55,0.07,15.04,562.96,87.71,34.26,33.53,15.86,12.30,0.11,1.71,10.47,10.14,1.78,2.95,5.39,0.24,1199.15,0.02,52.79,518.87,49.53,3.86,25.20,19.48,33.25,1.68,16.65,14.91,15.06,1.78,8.29,4.57,5.27,0.84,352.69,
0.28,1199.63,0.49,2.05,434.24,86.45,6.18,58.92,19.52,60.51,1.95,45.21,13.34,25.27,1.81,16.81,6.18,0.10,1198.65,0.23,4.27,534.90,73.36,24.98,25.99,18.14,14.13,0.16,2.17,11.80,10.36,2.13,1.90,6.33,48.15,1200.00,0.18,5.61,496.61,82.47,20.02,34.65,23.68,29.90,6.14,5.82,17.95,14.61,6.40,2.55,5.73,0.11,1197.30,0.09,11.37,516.32,76.44,20.79,26.94,23.82,23.66,1.72,5.05,16.88,16.67,6.49,3.02,6.94,0.10,1198.86,0.33,3.00,537.27,65.96,19.21,26.03,16.53,12.65,0.16,2.00,10.50,10.24,1.75,2.38,6.03,0.30,1199.74,1.08,0.93,518.35,51.98,5.07,26.26,19.66,32.97,1.54,16.32,15.12,14.89,1.45,8.52,4.54,0.09,0.02,329.72,
0.25,1200.02,0.05,21.20,527.97,86.21,14.08,19.55,49.53,31.83,0.14,1.95,29.75,22.20,1.51,0.94,19.78,0.10,1198.92,0.27,3.72,536.04,73.72,25.41,26.43,17.73,13.19,0.11,1.90,11.18,9.95,1.74,1.76,6.55,0.39,1199.64,0.04,23.67,503.02,87.26,26.55,36.05,20.47,25.47,5.49,5.38,14.60,13.29,4.29,2.75,5.88,0.11,1198.49,0.04,25.38,550.66,86.74,30.65,27.15,24.43,19.75,0.16,1.79,17.81,10.28,1.45,2.34,6.62,0.09,1201.12,0.28,3.52,536.84,68.70,18.67,26.44,19.16,14.59,0.16,1.82,12.61,11.27,1.78,2.94,6.55,0.22,1199.46,0.24,4.25,516.64,49.64,3.47,24.34,20.94,33.19,1.33,16.08,15.78,15.98,1.42,8.99,5.16,13.74,1.79,759.67,
0.64,1199.51,0.38,2.63,423.36,94.28,5.79,64.76,21.99,18.05,0.11,1.92,16.02,8.83,1.49,1.37,5.97,0.10,1196.94,0.24,4.10,565.90,79.30,38.55,16.98,19.92,15.97,0.16,2.04,13.77,9.46,1.65,1.77,6.15,0.12,1199.15,0.15,6.63,569.32,112.42,47.73,37.42,22.61,25.97,4.50,4.93,16.55,14.79,4.61,3.15,6.06,0.11,1198.55,0.13,7.42,539.12,84.33,26.76,27.84,23.92,19.38,0.11,1.65,17.62,9.52,1.45,1.88,6.30,0.09,1196.20,0.24,4.09,563.57,66.79,27.92,16.34,18.91,14.62,0.11,1.66,12.84,10.77,1.75,2.92,6.07,0.30,1199.64,1.20,0.84,526.00,51.39,5.28,24.43,20.70,35.63,3.23,16.44,15.96,15.39,1.16,9.01,4.74,53.40,10.21,288.76,
0.39,1199.48,0.59,1.69,425.68,121.88,5.29,65.33,49.91,78.68,2.35,46.25,30.08,38.67,1.33,17.03,19.83,0.10,1200.77,0.25,4.03,537.43,72.31,31.85,16.73,19.89,15.43,0.11,1.96,13.36,9.88,1.64,1.91,6.53,0.38,1199.57,0.04,27.27,523.24,95.09,32.84,31.49,26.15,32.75,6.90,5.58,20.27,11.76,2.98,2.66,5.88,0.11,1197.79,0.05,19.03,534.90,87.64,31.73,27.61,23.51,24.83,1.92,5.65,17.26,13.77,4.27,2.80,6.25,0.09,1201.07,0.26,3.85,543.08,58.80,21.00,15.93,18.05,14.11,0.11,1.79,12.21,10.11,1.76,2.58,5.83,0.23,1199.51,0.24,4.11,516.74,48.40,4.23,23.95,19.25,32.43,1.63,16.10,14.69,14.86,1.08,8.82,4.55,37.60,7.63,369.16,
0.81,1199.89,0.49,2.04,400.59,90.81,4.56,62.12,22.50,18.81,0.16,2.51,16.14,9.24,1.49,1.44,6.36,0.10,1199.21,0.27,3.74,532.57,63.81,17.93,26.16,15.75,11.76,0.11,1.90,9.75,9.28,1.63,1.77,6.00,0.11,1198.93,0.15,6.62,498.84,75.04,18.59,33.64,20.00,23.87,4.06,5.79,14.02,14.89,5.88,2.73,5.97,0.12,1197.80,0.05,20.08,526.12,84.45,17.36,36.40,25.64,20.28,0.11,1.50,18.67,10.19,1.45,1.88,6.97,0.09,1198.91,0.28,3.58,531.50,70.33,22.95,27.02,16.23,12.23,0.11,1.66,10.45,10.02,1.75,2.38,5.78,0.25,1199.54,1.03,0.97,517.27,53.24,4.67,26.41,21.10,34.77,2.13,16.74,15.90,15.95,1.70,8.59,5.20,34.10,5.76,304.05,
0.26,1199.42,0.28,3.56,430.64,86.52,5.89,60.27,18.75,14.09,0.16,2.20,11.73,10.41,1.90,1.26,7.02,0.10,1198.86,0.27,3.69,519.26,65.71,18.44,25.89,17.31,12.98,0.11,1.90,10.97,9.78,1.72,1.83,6.34,0.40,1199.72,0.04,25.59,521.50,101.90,36.78,38.09,22.33,24.93,4.40,4.78,15.74,15.23,4.84,3.13,6.59,0.11,1198.79,0.29,3.49,541.66,79.14,23.71,26.80,24.19,18.98,0.16,1.85,16.97,11.15,1.99,1.92,7.22,0.09,1198.81,0.29,3.45,521.80,65.17,19.62,25.83,15.58,11.55,0.16,1.91,9.48,10.27,1.75,2.36,6.09,0.31,1199.59,0.42,2.40,521.82,51.89,4.41,26.01,20.49,35.56,3.20,16.52,15.84,15.19,1.19,8.86,4.65,49.55,9.81,384.14,
0.42,1199.68,0.49,2.02,426.97,120.78,6.74,61.46,50.60,32.92,0.16,2.09,30.67,22.80,1.49,1.44,19.94,0.09,1196.51,0.02,54.80,565.72,72.03,34.74,15.59,18.07,14.03,0.07,2.01,11.95,9.45,1.67,1.76,6.12,0.12,1198.69,0.16,6.36,529.22,92.31,31.11,34.87,21.79,26.66,6.00,4.90,15.75,14.99,4.88,3.05,6.04,0.12,1198.72,0.24,4.19,525.76,82.16,15.76,38.37,23.83,19.67,0.11,1.65,17.90,9.17,1.45,1.90,5.93,0.10,1197.04,0.03,31.81,584.51,93.83,34.41,38.60,16.90,13.10,0.13,1.71,11.26,9.74,1.64,2.38,5.65,0.26,1199.49,0.95,1.06,524.74,56.27,7.18,28.39,19.45,34.69,3.15,16.45,15.09,14.44,1.16,8.41,4.37,48.40,11.99,314.21,
