
AMDuProfPcm Report

System:,Family(0x17) Model(0x1) Stepping(0x2)
Number of sockets:,2
Number of nodes(die):,8
Number of core complexes(CCX):,16
Number of physical cores:,48
Number of logical cores (threads) :,96
SMT Enabled:,True
Number of logical cores sharing L3:,6

CPU Topology:
Socket, Die, CCX, Core(s)
0,0,0, 0 1 2 48 49 50
0,0,1, 3 4 5 51 52 53
0,1,2, 6 7 8 54 55 56
0,1,3, 9 10 11 57 58 59
0,2,4, 12 13 14 60 61 62
0,2,5, 15 16 17 63 64 65
0,3,6, 18 19 20 66 67 68
0,3,7, 21 22 23 69 70 71
1,4,8, 24 25 26 72 73 74
1,4,9, 27 28 29 75 76 77
1,5,10, 30 31 32 78 79 80
1,5,11, 33 34 35 81 82 83
1,6,12, 36 37 38 84 85 86
1,6,13, 39 40 41 87 88 89
1,7,14, 42 43 44 90 91 92
1,7,15, 45 46 47 93 94 95

P0 state frequency (MHz):,2000.000000
Measured DF Frequency (MHz):,883.285156
Sampling interval (ms):,1000
Version:,3.2.228

IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles

Core-0 (ccx-0 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-1 (ccx-0 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-2 (ccx-0 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-48 (ccx-0 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-49 (ccx-0 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-50 (ccx-0 die-0 pkg-0),,,,,,,,,,,,,,,,,CCX-0(die-0 pkg-0),,,
Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),L3 Access (pti),L3 Miss (pti),Ave L3 Miss Latency,
6.12,1201.77,0.85,1.17,457.77,29.64,8.21,15.22,5.55,9.84,2.99,2.62,4.23,17.39,10.02,5.80,1.32,1.85,1203.79,1.00,1.00,409.38,35.75,9.83,3.71,21.56,57.26,31.25,11.11,14.89,68.24,48.56,11.62,6.67,0.35,1199.63,0.08,12.42,565.71,63.97,16.76,31.98,13.82,58.60,28.16,19.14,11.30,26.79,11.14,12.49,2.53,0.12,1198.85,0.01,93.04,530.01,103.75,25.57,23.58,51.65,99.84,36.15,19.26,44.43,99.01,64.16,25.80,7.22,0.11,1221.51,0.02,46.97,549.84,69.55,23.30,21.19,22.78,133.82,86.02,29.78,18.01,55.12,35.69,13.07,4.77,0.46,1199.74,0.16,6.18,596.87,63.01,26.13,32.79,2.48,8.70,1.55,5.28,1.87,11.05,5.94,3.28,0.61,19.08,7.28,318.20,
57.53,2694.19,1.24,0.81,524.76,47.21,16.16,14.60,15.87,16.36,2.77,1.96,11.63,20.98,10.54,5.84,4.25,1.05,1242.05,0.06,15.98,546.16,39.28,7.96,29.63,0.82,41.25,16.19,24.64,0.43,24.98,16.80,7.02,0.39,0.85,1284.51,0.68,1.46,555.11,53.36,22.86,13.55,16.23,20.67,6.23,2.16,12.29,14.10,2.32,7.77,3.94,0.18,2083.77,0.00,264.50,526.84,176.15,115.80,40.50,13.89,115.97,72.27,33.20,10.49,48.72,35.36,8.43,3.40,0.24,1291.09,0.29,3.39,657.97,115.36,75.81,35.90,0.35,4.92,1.51,3.09,0.32,31.22,18.61,11.87,0.04,0.06,1232.53,0.05,20.08,465.19,18.61,8.88,7.59,0.74,4.08,1.37,2.01,0.71,7.94,4.06,3.70,0.04,8.71,5.68,755.09,
14.73,2321.02,0.32,3.12,585.81,62.09,20.93,19.69,20.57,22.38,1.52,3.73,17.13,16.10,10.52,2.29,3.44,0.98,1895.67,0.45,2.24,660.83,119.95,82.40,33.78,0.32,2.30,0.11,1.90,0.29,1.89,0.00,1.72,0.04,0.45,1199.32,0.30,3.33,782.61,191.56,146.38,39.24,0.36,2.33,0.11,1.93,0.29,3.67,0.89,2.27,0.07,0.78,1362.66,0.90,1.11,554.52,73.99,37.32,22.68,12.17,48.33,21.81,17.60,8.93,62.54,45.44,12.68,3.24,5.17,2496.13,0.04,23.10,475.64,21.96,11.25,8.10,0.53,2.24,0.11,1.66,0.46,2.03,0.00,1.84,0.07,3.25,2157.91,0.09,10.80,471.78,19.94,10.22,7.23,0.50,2.31,0.16,1.80,0.35,2.44,0.88,1.62,0.14,49.15,14.03,284.30,
0.24,1200.73,0.07,13.53,519.48,34.63,5.98,26.63,1.34,4.20,0.86,2.68,0.65,10.68,7.36,2.50,0.69,0.06,1203.02,0.20,5.09,433.21,5.60,0.00,4.66,0.00,1.81,0.11,1.70,0.00,1.85,0.00,1.72,0.00,0.35,1200.45,0.02,41.34,535.05,54.46,35.80,15.30,0.00,2.19,0.16,2.04,0.00,3.55,0.88,2.24,0.00,0.15,1199.44,0.31,3.20,549.77,83.22,46.35,26.63,8.75,20.50,2.58,11.65,6.27,63.26,45.56,14.25,2.48,0.06,1202.69,0.23,4.34,426.78,5.45,0.00,4.50,0.00,1.71,0.02,1.69,0.00,1.96,0.00,1.84,0.00,0.06,1202.98,0.01,69.17,427.55,11.38,1.49,5.88,0.00,2.54,0.29,2.25,0.00,2.25,0.85,1.60,0.00,7.62,3.74,633.02,
0.15,1197.68,0.31,3.22,514.59,38.81,10.73,25.87,1.33,4.66,1.23,2.82,0.61,12.06,8.60,2.55,0.72,0.06,1194.67,0.21,4.86,542.98,46.87,33.95,10.47,0.00,2.01,0.11,1.90,0.00,1.86,0.00,1.72,0.00,0.06,1198.52,0.00,215.14,501.09,31.47,19.51,9.64,0.00,2.04,0.14,1.90,0.00,2.84,0.00,2.27,0.00,0.15,1199.29,0.28,3.53,665.92,139.46,95.46,30.31,10.01,40.03,16.03,16.17,7.82,60.10,43.52,13.31,2.19,0.06,1198.68,0.20,4.96,476.48,25.82,13.71,10.11,0.00,2.54,0.29,2.25,0.00,1.96,0.00,1.84,0.00,0.06,1198.36,0.00,212.89,475.91,27.11,14.80,10.30,0.00,1.84,0.13,1.71,0.00,1.57,0.04,1.60,0.00,21.49,6.46,348.70,
0.15,1198.96,0.14,7.09,532.26,37.90,8.42,27.34,1.17,4.39,0.86,2.91,0.62,11.09,8.18,2.50,0.55,0.06,1201.93,0.19,5.14,433.85,5.54,0.06,4.54,0.00,2.01,0.14,1.88,0.00,1.85,0.00,1.72,0.00,0.35,1199.68,0.03,32.39,480.09,44.79,19.87,22.80,0.00,1.99,0.09,1.90,0.00,4.34,1.81,2.24,0.00,0.16,1198.98,0.26,3.83,576.25,95.03,57.28,27.29,8.20,38.19,16.01,16.02,6.16,58.17,42.99,12.04,2.04,0.06,1197.90,0.23,4.37,426.87,5.58,0.04,4.59,0.00,1.82,0.11,1.71,0.00,1.96,0.00,1.84,0.00,0.06,1198.38,0.01,70.49,430.63,6.37,1.57,4.56,0.00,1.98,0.16,1.82,0.00,2.99,1.73,1.60,0.00,15.59,6.65,594.78,
0.08,1201.24,0.01,73.95,490.74,26.35,2.65,5.33,17.20,35.08,1.61,22.08,11.40,15.94,5.36,4.35,5.81,0.06,1198.30,0.19,5.17,438.18,5.44,1.12,4.78,0.00,2.16,0.18,1.98,0.00,1.94,0.00,1.80,0.00,0.06,1198.54,0.19,5.21,437.73,9.17,1.82,5.29,0.15,2.15,0.02,2.05,0.07,4.46,1.80,2.28,0.07,0.15,1198.86,0.31,3.21,548.24,79.87,43.28,24.08,11.24,22.56,2.19,11.98,8.39,61.59,44.39,13.22,2.85,0.06,1198.10,0.22,4.50,428.08,5.48,0.00,4.56,0.00,1.94,0.18,1.75,0.00,1.98,0.00,1.87,0.00,0.06,1198.44,0.23,4.38,427.24,7.74,1.78,4.55,0.39,2.11,0.11,1.74,0.25,3.06,1.74,1.61,0.14,1.98,1.36,364.70,
23.53,2796.78,1.29,0.78,605.08,38.49,17.29,17.90,2.70,6.14,2.37,1.98,1.79,19.25,12.42,5.68,0.91,0.31,1275.57,0.47,2.15,545.76,73.38,27.94,29.57,14.73,34.21,3.84,18.52,11.86,24.08,11.87,8.89,2.87,0.48,1230.65,0.45,2.22,586.79,41.88,17.48,12.91,10.86,14.89,3.76,1.73,9.40,11.80,2.33,7.92,1.46,0.19,1453.26,0.10,9.59,651.58,169.76,84.24,44.20,35.47,102.00,41.49,33.25,27.25,90.29,52.93,24.75,8.22,0.06,1196.80,0.02,60.51,456.78,17.70,7.78,7.28,1.33,3.80,0.02,2.77,1.01,4.43,0.62,3.08,0.32,0.06,1197.43,0.01,80.46,471.15,22.87,10.05,7.69,2.91,10.59,4.21,4.25,2.12,5.38,3.29,1.65,0.78,10.29,6.12,748.15,
81.44,2902.57,1.90,0.53,472.95,19.03,8.14,7.80,2.83,3.54,0.34,0.99,2.21,8.68,4.75,3.20,0.62,0.26,1309.52,0.48,2.10,519.64,61.60,29.21,30.68,0.43,20.25,1.26,18.70,0.29,21.28,12.15,8.45,0.14,0.45,1296.15,1.34,0.75,634.77,37.99,12.38,11.40,13.76,11.79,0.33,0.33,11.13,3.17,0.37,0.16,2.63,0.20,2634.89,0.00,364.23,500.25,175.79,115.52,38.18,18.32,101.93,53.74,34.35,13.83,47.21,31.36,9.85,4.48,0.06,1280.53,0.06,15.70,493.58,37.26,23.85,11.55,0.14,3.24,0.09,3.01,0.14,3.90,1.23,2.60,0.00,0.06,1279.62,0.05,20.35,520.50,40.36,23.48,12.97,1.19,4.71,1.27,3.07,0.37,8.02,5.19,2.26,0.82,2.24,1.47,738.12,
99.98,2999.17,1.90,0.53,482.20,18.62,6.80,8.59,3.01,3.64,0.33,1.04,2.28,7.81,3.62,3.35,0.73,0.33,1332.97,0.48,2.10,535.37,70.71,21.04,30.48,18.25,29.84,1.92,14.48,13.44,50.93,33.35,11.85,4.81,1.23,1333.17,0.05,19.18,540.69,64.37,34.51,26.12,1.89,17.62,3.03,13.51,1.07,72.06,55.35,14.63,0.82,0.39,2989.62,0.00,493.78,460.79,190.71,133.02,35.01,20.46,108.75,59.31,33.94,15.49,55.70,42.82,7.05,4.97,0.05,1330.59,0.02,45.99,453.95,31.01,5.39,6.72,17.57,16.23,0.02,2.80,13.40,8.77,0.80,3.28,4.17,0.05,1334.17,0.01,80.28,437.75,9.72,1.57,4.84,2.48,5.09,0.29,2.79,2.01,8.44,4.73,2.72,0.48,1.44,0.58,576.54,
