
AMDuProfPcm Report

System:,Family(0x17) Model(0x1) Stepping(0x2)
Number of sockets:,2
Number of nodes(die):,8
Number of core complexes(CCX):,16
Number of physical cores:,48
Number of logical cores (threads) :,96
SMT Enabled:,True
Number of logical cores sharing L3:,6

CPU Topology:
Socket, Die, CCX, Core(s)
0,0,0, 0 1 2 48 49 50
0,0,1, 3 4 5 51 52 53
0,1,2, 6 7 8 54 55 56
0,1,3, 9 10 11 57 58 59
0,2,4, 12 13 14 60 61 62
0,2,5, 15 16 17 63 64 65
0,3,6, 18 19 20 66 67 68
0,3,7, 21 22 23 69 70 71
1,4,8, 24 25 26 72 73 74
1,4,9, 27 28 29 75 76 77
1,5,10, 30 31 32 78 79 80
1,5,11, 33 34 35 81 82 83
1,6,12, 36 37 38 84 85 86
1,6,13, 39 40 41 87 88 89
1,7,14, 42 43 44 90 91 92
1,7,15, 45 46 47 93 94 95

P0 state frequency (MHz):,2000.000000
Measured DF Frequency (MHz):,889.627625
Sampling interval (ms):,1000
Version:,3.2.228

IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles

Core-6 (ccx-2 die-1 pkg-0),,,,,,,,,,,,,,,,,Core-7 (ccx-2 die-1 pkg-0),,,,,,,,,,,,,,,,,Core-8 (ccx-2 die-1 pkg-0),,,,,,,,,,,,,,,,,Core-54 (ccx-2 die-1 pkg-0),,,,,,,,,,,,,,,,,Core-55 (ccx-2 die-1 pkg-0),,,,,,,,,,,,,,,,,Core-56 (ccx-2 die-1 pkg-0),,,,,,,,,,,,,,,,,CCX-2(die-1 pkg-0),,,
Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),L3 Access (pti),L3 Miss (pti),Ave L3 Miss Latency,
0.56,1199.35,0.38,2.63,633.97,104.15,64.91,35.00,0.61,13.46,9.37,3.63,0.46,29.69,22.26,6.68,0.14,0.07,1206.60,0.00,275.48,531.78,48.79,34.07,9.54,2.95,4.31,0.02,1.97,2.32,2.85,0.18,1.86,0.63,0.07,1206.94,0.00,378.06,537.61,46.50,34.74,9.36,0.04,2.34,0.14,2.17,0.04,2.94,0.09,2.29,0.00,0.07,1198.98,0.04,24.37,501.05,35.14,19.87,11.84,0.46,11.79,6.17,5.23,0.39,10.73,5.61,4.07,0.07,0.07,1206.55,0.00,263.98,474.69,24.69,12.98,9.22,0.00,1.97,0.09,1.88,0.00,1.95,0.00,1.56,0.00,0.10,1198.09,0.00,213.71,529.79,48.76,24.35,19.86,2.24,3.84,0.14,1.81,1.89,2.79,0.00,1.83,0.35,50.03,16.30,277.68,
2.27,1325.23,0.26,3.79,481.20,7.38,0.93,5.05,0.14,35.54,27.98,7.41,0.14,13.42,10.91,2.63,0.00,0.06,1198.50,0.20,4.99,430.77,5.87,0.13,4.83,0.00,2.10,0.09,2.01,0.00,1.90,0.02,1.74,0.00,0.06,1198.45,0.14,7.25,431.68,10.85,3.72,5.64,0.00,2.19,0.11,2.08,0.00,3.44,0.81,2.22,0.00,0.06,1201.14,0.16,6.09,436.34,6.79,0.86,4.93,0.00,4.54,1.94,2.61,0.00,12.67,7.54,4.91,0.00,0.06,1198.06,0.23,4.34,429.70,5.62,0.00,4.36,0.00,2.04,0.11,1.92,0.00,1.97,0.00,1.58,0.00,0.07,1201.50,0.30,3.30,488.70,38.15,16.70,20.00,0.07,1.94,0.11,1.83,0.00,3.04,0.94,1.81,0.07,1.62,1.23,331.27,
0.08,1198.39,0.26,3.91,479.75,6.59,0.12,5.09,0.00,2.00,0.02,1.97,0.00,2.42,0.00,2.04,0.00,0.06,1198.23,0.20,5.03,429.58,6.69,0.00,5.00,0.57,2.13,0.16,1.88,0.09,2.46,0.00,1.83,0.47,0.06,1198.34,0.15,6.81,432.07,10.71,3.61,5.30,0.00,1.90,0.11,1.79,0.00,3.53,0.88,2.22,0.00,3.31,1680.36,0.16,6.17,429.59,10.28,0.07,4.82,0.00,1.83,0.02,1.81,0.00,1.95,0.00,1.83,0.00,0.06,1199.01,0.23,4.34,430.40,5.41,0.00,4.17,0.00,2.01,0.16,1.86,0.00,1.95,0.00,1.56,0.00,0.07,1198.50,0.30,3.38,481.29,35.13,14.99,17.01,1.81,2.83,0.05,1.88,0.90,3.96,0.79,1.81,0.90,1.57,1.23,366.93,
0.08,1197.89,0.26,3.77,481.44,6.08,0.00,4.86,0.00,2.02,0.14,1.88,0.00,2.42,0.00,2.04,0.00,0.06,1198.24,0.20,5.01,431.74,5.64,0.00,4.62,0.00,2.15,0.16,1.99,0.00,1.95,0.00,1.79,0.00,0.06,1198.11,0.14,7.18,434.98,10.13,3.33,5.34,0.00,1.76,0.11,1.65,0.00,3.48,0.88,2.22,0.00,0.06,1198.44,0.17,5.90,430.67,5.47,0.00,4.51,0.00,1.70,0.02,1.68,0.00,1.95,0.00,1.83,0.00,0.06,1198.31,0.23,4.32,429.26,5.28,0.00,4.04,0.00,1.77,0.09,1.68,0.00,1.95,0.00,1.56,0.00,0.07,1198.41,0.29,3.48,484.36,37.96,17.33,19.42,0.00,1.99,0.16,1.83,0.00,3.18,0.89,1.81,0.00,1.20,0.92,373.07,
0.08,1197.93,0.02,59.96,539.37,31.13,20.97,8.21,0.14,1.82,0.12,1.67,0.04,2.52,0.00,2.04,0.11,0.06,1198.31,0.20,4.92,478.45,28.53,18.73,7.92,0.88,2.29,0.07,2.04,0.19,3.36,0.86,1.79,0.69,0.06,1198.31,0.12,8.36,479.03,26.08,15.74,8.43,0.00,2.01,0.07,1.94,0.00,2.78,0.00,2.22,0.00,0.06,1197.93,0.01,93.31,480.20,25.92,13.82,10.00,0.04,2.31,-0.02,2.33,0.00,4.67,2.42,2.08,0.04,0.06,1198.12,0.23,4.34,466.07,21.70,12.06,8.05,0.07,1.97,0.07,1.90,0.00,2.67,0.88,1.45,0.07,0.08,1194.76,0.31,3.21,501.55,48.04,20.68,24.71,1.30,2.04,0.00,1.92,0.12,3.17,0.00,1.61,1.18,3.20,1.77,338.11,
0.08,1198.17,0.26,3.84,477.48,6.29,0.00,4.94,0.14,2.28,0.16,2.04,0.07,2.48,0.00,2.04,0.07,0.06,1198.37,0.20,5.01,431.06,6.14,0.00,4.66,0.46,2.88,0.29,2.44,0.14,2.29,0.00,1.81,0.32,0.06,1198.42,0.01,84.57,434.11,10.57,3.33,5.30,0.50,2.18,0.11,1.85,0.21,3.81,0.88,2.22,0.29,0.06,1198.70,0.16,6.12,427.56,5.71,0.00,4.44,0.36,1.91,0.11,1.65,0.14,2.16,0.00,1.83,0.21,0.06,1198.62,0.23,4.31,426.64,5.82,0.00,4.12,0.46,2.22,0.16,1.92,0.14,2.29,0.00,1.58,0.32,0.07,1202.92,0.02,45.14,478.63,36.41,16.43,18.73,0.18,1.79,0.13,1.65,0.00,3.04,0.87,1.77,0.18,1.14,0.88,379.09,
0.08,1198.13,0.26,3.82,477.46,6.04,0.00,4.84,0.00,2.04,0.14,1.90,0.00,2.44,0.00,2.04,0.00,0.06,1198.51,0.20,4.95,430.38,6.10,0.00,4.68,0.41,2.11,0.09,1.68,0.35,2.01,0.00,1.79,0.06,0.06,1198.37,0.14,7.15,438.22,11.10,3.31,5.82,0.00,1.74,0.11,1.63,0.00,3.44,0.79,2.22,0.00,0.06,1198.25,0.16,6.12,429.45,5.66,0.00,4.68,0.00,1.81,0.14,1.68,0.00,1.92,0.00,1.81,0.00,0.06,1198.17,0.23,4.27,427.02,5.62,0.00,4.32,0.00,1.99,0.16,1.83,0.00,1.92,0.00,1.54,0.00,0.07,1198.80,0.29,3.48,473.26,37.36,15.77,18.81,1.42,1.84,0.02,1.70,0.12,4.42,0.88,1.77,1.30,1.19,0.92,375.81,
0.07,1197.59,0.26,3.85,479.38,6.53,0.00,5.28,0.04,2.17,0.12,2.01,0.04,2.89,0.00,2.43,0.00,0.06,1197.50,0.20,5.09,428.92,5.89,0.00,4.77,0.10,2.06,0.11,1.95,0.00,2.07,0.00,1.81,0.10,0.06,1198.06,0.01,81.82,432.06,10.38,3.12,5.30,0.50,2.89,0.14,2.40,0.36,3.81,0.88,2.35,0.14,0.06,1197.64,0.16,6.25,427.95,6.22,0.00,4.62,0.64,2.80,0.20,2.17,0.43,2.29,0.00,2.03,0.21,0.06,1197.93,0.22,4.47,429.26,6.20,0.00,4.42,0.64,2.26,0.09,1.81,0.36,2.23,0.00,1.56,0.29,0.07,1197.95,0.02,44.85,477.88,33.32,14.78,17.16,0.11,2.05,0.11,1.90,0.04,3.29,0.92,1.83,0.07,1.16,0.92,385.00,
0.08,1198.52,0.25,4.01,502.55,18.15,9.95,6.92,0.07,2.21,0.16,2.04,0.00,3.28,0.93,2.04,0.07,0.06,1198.79,0.20,5.10,475.55,26.63,16.86,8.07,0.73,1.96,0.02,1.88,0.06,3.33,0.88,1.79,0.66,0.06,1198.31,0.01,82.50,480.41,25.99,15.92,8.28,0.00,1.97,0.14,1.83,0.00,2.15,0.02,1.70,0.00,0.06,1198.68,0.17,5.84,467.07,21.16,10.86,9.11,0.00,1.79,0.11,1.68,0.00,2.51,0.88,1.81,0.00,0.06,1198.66,0.22,4.46,465.70,21.14,11.73,7.96,0.00,1.99,0.16,1.83,0.00,2.63,0.86,1.52,0.00,0.08,1195.10,0.03,39.95,510.53,45.83,20.43,22.36,1.60,2.19,0.14,1.72,0.33,3.49,0.00,1.86,1.27,2.18,1.64,343.24,
0.08,1198.11,0.25,3.99,482.29,8.31,1.81,5.18,0.00,2.21,0.09,2.11,0.00,3.39,1.11,2.04,0.00,0.06,1198.18,0.19,5.27,429.76,7.36,1.45,4.76,0.14,1.89,0.14,1.72,0.04,2.33,0.23,1.83,0.11,0.06,1198.15,0.14,7.01,431.78,11.43,4.76,5.28,0.00,2.08,0.14,1.95,0.00,3.24,1.18,1.77,0.00,0.06,1198.19,0.16,6.40,432.46,6.71,0.86,4.85,0.00,2.08,0.16,1.92,0.00,2.67,0.88,1.81,0.00,0.06,1198.18,0.22,4.51,431.40,5.86,0.02,4.50,0.00,2.51,0.16,2.35,0.00,1.97,0.00,1.58,0.00,0.07,1202.75,0.29,3.44,480.70,34.37,16.03,17.16,0.07,1.89,0.09,1.77,0.04,3.21,0.87,1.83,0.04,1.16,0.92,382.96,
