CPCLI>>> CoreId     Event      Count-Value
CPCLI>>>   0        0x45       39869
CPCLI>>>   0        0x84       0
CPCLI>>>   0        0x85       701
CPCLI>>>   0        0xc0       52377068
CPCLI>>>   1        0x45       497
CPCLI>>>   1        0x84       0
CPCLI>>>   1        0x85       43
CPCLI>>>   1        0xc0       181473
CPCLI>>>   2        0x45       1706
CPCLI>>>   2        0x84       0
CPCLI>>>   2        0x85       203
CPCLI>>>   2        0xc0       649913
CPCLI>>>   3        0x45       499123
CPCLI>>>   3        0x84       21279
CPCLI>>>   3        0x85       4951
CPCLI>>>   3        0xc0       475894369
CPCLI>>>   4        0x45       60853
CPCLI>>>   4        0x84       288
CPCLI>>>   4        0x85       5115
CPCLI>>>   4        0xc0       61175766
CPCLI>>>   5        0x45       127339
CPCLI>>>   5        0x84       56
CPCLI>>>   5        0x85       15567
CPCLI>>>   5        0xc0       31105829
CPCLI>>>   6        0x45       406427
CPCLI>>>   6        0x84       15375
CPCLI>>>   6        0x85       1280
CPCLI>>>   6        0xc0       123865010
CPCLI>>>   7        0x45       1044
CPCLI>>>   7        0x84       0
CPCLI>>>   7        0x85       187
CPCLI>>>   7        0xc0       338654
CPCLI>>>   8        0x45       269348
CPCLI>>>   8        0x84       36957
CPCLI>>>   8        0x85       5169
CPCLI>>>   8        0xc0       355418790
CPCLI>>>   9        0x45       1087182
CPCLI>>>   9        0x84       138437
CPCLI>>>   9        0x85       5673
CPCLI>>>   9        0xc0       528235820
CPCLI>>>  10        0x45       596
CPCLI>>>  10        0x84       1
CPCLI>>>  10        0x85       62
CPCLI>>>  10        0xc0       286902
CPCLI>>>  11        0x45       2322
CPCLI>>>  11        0x84       75
CPCLI>>>  11        0x85       348
CPCLI>>>  11        0xc0       572379
CPCLI>>>  48        0x45       1319
CPCLI>>>  48        0x84       0
CPCLI>>>  48        0x85       326
CPCLI>>>  48        0xc0       350454
CPCLI>>>  49        0x45       453089
CPCLI>>>  49        0x84       8682
CPCLI>>>  49        0x85       1205
CPCLI>>>  49        0xc0       596392577
CPCLI>>>  50        0x45       569
CPCLI>>>  50        0x84       0
CPCLI>>>  50        0x85       45
CPCLI>>>  50        0xc0       322907
CPCLI>>>  51        0x45       54887
CPCLI>>>  51        0x84       39
CPCLI>>>  51        0x85       6396
CPCLI>>>  51        0xc0       12200737
CPCLI>>>  52        0x45       109215
CPCLI>>>  52        0x84       7613
CPCLI>>>  52        0x85       989
CPCLI>>>  52        0xc0       90850042
CPCLI>>>  53        0x45       448917
CPCLI>>>  53        0x84       8093
CPCLI>>>  53        0x85       1198
CPCLI>>>  53        0xc0       597945690
CPCLI>>>  54        0x45       347
CPCLI>>>  54        0x84       0
CPCLI>>>  54        0x85       35
CPCLI>>>  54        0xc0       309767
CPCLI>>>  55        0x45       220349
CPCLI>>>  55        0x84       10520
CPCLI>>>  55        0x85       1418
CPCLI>>>  55        0xc0       71509366
CPCLI>>>  56        0x45       917
CPCLI>>>  56        0x84       0
CPCLI>>>  56        0x85       184
CPCLI>>>  56        0xc0       441033
CPCLI>>>  57        0x45       2613
CPCLI>>>  57        0x84       135
CPCLI>>>  57        0x85       474
CPCLI>>>  57        0xc0       769838
CPCLI>>>  58        0x45       23854
CPCLI>>>  58        0x84       18
CPCLI>>>  58        0x85       2274
CPCLI>>>  58        0xc0       9154959
CPCLI>>>  59        0x45       94547313
CPCLI>>>  59        0x84       3228726
CPCLI>>>  59        0x85       101520
CPCLI>>>  59        0xc0       65767520478
