
AMDuProf PROFILE REPORT

EXECUTION
Target Path:
Command Line Arguments:
Working Directory:
Environment Variables:
CPU Details:,"Family(0x17), Model(0x1), Number of Cores(96)"
Operating System:,"LinuxUbuntu 18.04.2 LTS-64 (Kernel: 4.15.0)"

PROFILE DETAILS
Profile Session Type:,"Investigate Data Access"
Profile Scope:,"System-Wide"
CPU Mask:,"0xFFFFFFFF"
CPU Affinity Mask:,"0xFFFFFFFFFFFFFFFFFFFFFFFF"
Profile Start Time:,"Apr-10-2020_22-38-30"
Profile End Time:,"Apr-10-2020_22-39-00"
Profile Duration:,"30 seconds"
Data Folder:,"/tmp/neo4j_bench/q1/three"
Call Stack Sampling:,"False"

Monitored Events:,Name,Interval,Unitmask,User,OS
,"Misaligned loads (PMCx047)",25000,0,True,True
,"Cycles not in Halt (PMCx076)",250000,0,True,True
,"Retired Instructions (PMCx0C0)",250000,0,True,True
,"LS Dispatch (PMCx029)",250000,7,True,True
,"Data Cache Refills from System (PMCx043)",25000,11,True,True
,"Requests to L2 Group1 (PMCx060)",25000,c8,True,True
,"L1 DTLB Miss (PMCx045)",25000,ff,True,True

"5 HOTTEST FUNCTIONS (Sort Event - CPU clocks)"
FUNCTION,"Misalign access","CPU clocks","Ret inst","DC accesses","DC refills L2/sys","DC misses","DTLB L1M","DC access rate","DC miss rate","DC miss ratio","IPC","CPI","DTLB request rate","DTLB L1M rate","DC refill rate","Misalign rate","Misalign ratio"
"acpi_idle_do_entry",0,19789,298,1269,166,287,17,4.2584,0.0963,0.0226,0.0151,66.4060,4.2584,0.0057,0.0557,0.0000,0.0000
"native_write_msr",0,1011,180,178,2,25,0,0.9889,0.0139,0.0140,0.1780,5.6167,0.9889,0.0000,0.0011,0.0000,0.0000
"native_read_msr",0,566,49,81,9,30,8,1.6531,0.0612,0.0370,0.0866,11.5510,1.6531,0.0163,0.0184,0.0000,0.0000
"menu_select",0,445,320,122,11,86,13,0.3812,0.0269,0.0705,0.7191,1.3906,0.3812,0.0041,0.0034,0.0000,0.0000
"apic_timer_interrupt",0,351,59,116,0,14,20,1.9661,0.0237,0.0121,0.1681,5.9492,1.9661,0.0339,0.0000,0.0000,0.0000


"ALL PROCESSES (Sort Event - CPU clocks)"
PROCESS,"Misalign access","CPU clocks","Ret inst","DC accesses","DC refills L2/sys","DC misses","DTLB L1M","DC access rate","DC miss rate","DC miss ratio","IPC","CPI","DTLB request rate","DTLB L1M rate","DC refill rate","Misalign rate","Misalign ratio"
[kernel] (PID - 0),0,28264,3119,3559,354,1318,145,1.1411,0.0423,0.0370,0.1104,9.0619,1.1411,0.0046,0.0113,0.0000,0.0000
/usr/bin/dockerd (PID - 4140),0,205,171,43,5,1,8,0.2515,0.0006,0.0023,0.8341,1.1988,0.2515,0.0047,0.0029,0.0000,0.0000
/usr/bin/containerd (PID - 2654),0,10,2,6,0,2,0,3.0000,0.1000,0.0333,0.2000,5.0000,3.0000,0.0000,0.0000,0.0000,0.0000
kworker/9:1 (PID - 71282),0,5,1,0,0,1,0,0.0000,0.1000,0.0000,0.2000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
kworker/0:2 (PID - 72142),0,4,0,1,0,2,0,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
/usr/bin/gnome-shell (PID - 3406),0,4,4,1,0,2,0,0.2500,0.0500,0.2000,1.0000,1.0000,0.2500,0.0000,0.0000,0.0000,0.0000
/usr/lib/accountsservice/accounts-daemon (PID - 2008),0,4,2,1,1,0,0,0.5000,0.0000,0.0000,0.5000,2.0000,0.5000,0.0000,0.0500,0.0000,0.0000
watchdog/7 (PID - 52),0,2,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
watchdog/13 (PID - 89),0,2,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
