
AMDuProf PROFILE REPORT

EXECUTION
Target Path:
Command Line Arguments:
Working Directory:
Environment Variables:
CPU Details:,"Family(0x17), Model(0x1), Number of Cores(96)"
Operating System:,"LinuxUbuntu 18.04.2 LTS-64 (Kernel: 4.15.0)"

PROFILE DETAILS
Profile Session Type:,"Investigate Data Access"
Profile Scope:,"System-Wide"
CPU Mask:,"0xFFFFFFFF"
CPU Affinity Mask:,"0xFFFFFFFFFFFFFFFFFFFFFFFF"
Profile Start Time:,"Apr-11-2020_02-53-19"
Profile End Time:,"Apr-11-2020_02-53-49"
Profile Duration:,"30 seconds"
Data Folder:,"/tmp/neo4j_bench/test"
Call Stack Sampling:,"False"

Monitored Events:,Name,Interval,Unitmask,User,OS
,"Misaligned loads (PMCx047)",25000,0,True,True
,"Cycles not in Halt (PMCx076)",250000,0,True,True
,"Retired Instructions (PMCx0C0)",250000,0,True,True
,"LS Dispatch (PMCx029)",250000,7,True,True
,"Data Cache Refills from System (PMCx043)",25000,11,True,True
,"Requests to L2 Group1 (PMCx060)",25000,c8,True,True
,"L1 DTLB Miss (PMCx045)",25000,ff,True,True

"5 HOTTEST FUNCTIONS (Sort Event - CPU clocks)"
FUNCTION,"Misalign access","CPU clocks","Ret inst","DC accesses","DC refills L2/sys","DC misses","DTLB L1M","DC access rate","DC miss rate","DC miss ratio","IPC","CPI","DTLB request rate","DTLB L1M rate","DC refill rate","Misalign rate","Misalign ratio"
"acpi_idle_do_entry",0,19260,274,1213,155,281,14,4.4270,0.1026,0.0232,0.0142,70.2920,4.4270,0.0051,0.0566,0.0000,0.0000
"native_write_msr",0,1138,196,173,4,19,0,0.8827,0.0097,0.0110,0.1722,5.8061,0.8827,0.0000,0.0020,0.0000,0.0000
"native_read_msr",0,564,37,82,7,36,9,2.2162,0.0973,0.0439,0.0656,15.2432,2.2162,0.0243,0.0189,0.0000,0.0000
"menu_select",0,461,329,124,13,81,12,0.3769,0.0246,0.0653,0.7137,1.4012,0.3769,0.0036,0.0040,0.0000,0.0000
"__tick_nohz_idle_enter",0,368,193,131,11,54,1,0.6788,0.0280,0.0412,0.5245,1.9067,0.6788,0.0005,0.0057,0.0000,0.0000


"ALL PROCESSES (Sort Event - CPU clocks)"
PROCESS,"Misalign access","CPU clocks","Ret inst","DC accesses","DC refills L2/sys","DC misses","DTLB L1M","DC access rate","DC miss rate","DC miss ratio","IPC","CPI","DTLB request rate","DTLB L1M rate","DC refill rate","Misalign rate","Misalign ratio"
[kernel] (PID - 0),0,27697,3077,3539,356,1273,144,1.1501,0.0414,0.0360,0.1111,9.0013,1.1501,0.0047,0.0116,0.0000,0.0000
/usr/bin/dockerd (PID - 4140),0,18,11,5,0,5,1,0.4545,0.0455,0.1000,0.6111,1.6364,0.4545,0.0091,0.0000,0.0000,0.0000
/usr/bin/containerd (PID - 2654),0,8,4,1,0,2,1,0.2500,0.0500,0.2000,0.5000,2.0000,0.2500,0.0250,0.0000,0.0000,0.0000
kworker/0:2 (PID - 72142),0,6,1,0,0,0,0,0.0000,0.0000,0.0000,0.1667,6.0000,0.0000,0.0000,0.0000,0.0000,0.0000
/usr/lib/accountsservice/accounts-daemon (PID - 2008),0,2,2,0,0,0,0,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
kworker/5:0 (PID - 71067),0,2,1,0,0,0,0,0.0000,0.0000,0.0000,0.5000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
kworker/2:1 (PID - 49098),0,2,3,0,0,0,0,0.0000,0.0000,0.0000,1.5000,0.6667,0.0000,0.0000,0.0000,0.0000,0.0000
kworker/14:1 (PID - 46581),0,2,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
kworker/u192:2 (PID - 33977),0,2,0,2,0,2,0,0.0000,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
